Date;Hour  (GMT);Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NOX (µg/m3);NO2;NO2 - ICA;Ortoxileno (µg/m3);PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;SO2;SO2 - ICA;Tolueno (µg/m3);ICA Estación
31/12/2024;24:00;0,94;0,47;0,5;0,44;26;73;34;Muy bueno / Oso ona;3,02;23,17;Bueno / Ona;16,54;Bueno / Ona;5;Muy bueno / Oso ona;2,75;Bueno / Ona
31/12/2024;23:00;1,12;0,4;0,49;0,42;8;44;32;Muy bueno / Oso ona;2,74;21,5;Bueno / Ona;15,75;Bueno / Ona;4;Muy bueno / Oso ona;2,5;Bueno / Ona
31/12/2024;22:00;1,63;0,51;0,49;0,65;21;68;36;Muy bueno / Oso ona;4,28;21,54;Bueno / Ona;15,71;Bueno / Ona;4;Muy bueno / Oso ona;3,86;Bueno / Ona
31/12/2024;21:00;2,11;0,67;0,48;1,22;42;103;39;Muy bueno / Oso ona;8,54;21,54;Bueno / Ona;15,54;Bueno / Ona;5;Muy bueno / Oso ona;7,15;Bueno / Ona
31/12/2024;20:00;1,91;0,62;0,46;0,94;28;76;33;Muy bueno / Oso ona;6,52;21,75;Bueno / Ona;15,38;Bueno / Ona;5;Muy bueno / Oso ona;5,73;Bueno / Ona
31/12/2024;19:00;0,99;0,52;0,43;0,32;20;60;30;Muy bueno / Oso ona;1,87;21,88;Bueno / Ona;15,29;Bueno / Ona;4;Muy bueno / Oso ona;1,88;Bueno / Ona
31/12/2024;18:00;0,93;0,39;0,42;0,32;2;27;23;Muy bueno / Oso ona;1,93;21,71;Bueno / Ona;15,13;Bueno / Ona;3;Muy bueno / Oso ona;1,76;Bueno / Ona
31/12/2024;17:00;0,89;0,39;0,42;0,31;2;25;22;Muy bueno / Oso ona;1,84;21,79;Bueno / Ona;14,96;Bueno / Ona;3;Muy bueno / Oso ona;1,73;Bueno / Ona
31/12/2024;16:00;0,87;0,41;0,42;0,36;5;25;18;Muy bueno / Oso ona;2,17;21,88;Bueno / Ona;14,75;Bueno / Ona;3;Muy bueno / Oso ona;1,65;Bueno / Ona
31/12/2024;15:00;0,79;0,43;0,41;0,25;5;22;14;Muy bueno / Oso ona;1,44;21,79;Bueno / Ona;14,58;Bueno / Ona;4;Muy bueno / Oso ona;1,38;Bueno / Ona
31/12/2024;14:00;0,76;0,43;0,4;0,3;6;21;12;Muy bueno / Oso ona;1,78;21,79;Bueno / Ona;14,46;Bueno / Ona;4;Muy bueno / Oso ona;1,61;Bueno / Ona
31/12/2024;13:00;1,03;0,45;0,38;0,5;11;35;18;Muy bueno / Oso ona;3,28;22,04;Bueno / Ona;14,38;Bueno / Ona;4;Muy bueno / Oso ona;2,89;Bueno / Ona
31/12/2024;12:00;0,99;0,44;0,35;0,43;25;64;26;Muy bueno / Oso ona;2,86;22,17;Bueno / Ona;14,33;Bueno / Ona;4;Muy bueno / Oso ona;2,51;Bueno / Ona
31/12/2024;11:00;1,08;0,42;0,32;0,48;34;82;30;Muy bueno / Oso ona;3,31;22,17;Bueno / Ona;14,29;Bueno / Ona;5;Muy bueno / Oso ona;3,03;Bueno / Ona
31/12/2024;10:00;1,12;0,4;0,3;0,61;50;113;36;Muy bueno / Oso ona;4,28;22,17;Bueno / Ona;14,21;Bueno / Ona;5;Muy bueno / Oso ona;3,75;Bueno / Ona
31/12/2024;09:00;0,98;0,36;0,28;0,53;57;130;42;Bueno / Ona;3,68;22,04;Bueno / Ona;14,04;Bueno / Ona;5;Muy bueno / Oso ona;3,11;Bueno / Ona
