Date,CO (mg/m3),CO 8h (mg/m3),NO (µg/m3),NOX (µg/m3),NO2,O3 (µg/m3),OZONO,O3 8h (µg/m3),PM10,"PM2,5",SO2
2025-04-07,0.11,0.1,8.75,46.38,33.88,48.88,48.88,52.75,12.99,11.14,5.62
2025-04-09,0.12,0.08,56.5,120.5,35.17,13.0,13.0,12.33,37.85,31.81,7.33
2025-04-10,0.14,0.15,10.46,56.08,40.92,49.38,49.38,48.15,26.96,17.93,7.15
2025-04-11,0.04,0.06,15.17,53.28,30.72,65.39,65.39,59.28,22.02,13.96,4.06
2025-04-12,0.1,0.08,25.08,66.58,28.83,43.08,43.08,48.25,14.63,11.44,4.33
2025-04-13,0.14,0.14,18.57,56.83,28.91,62.83,62.83,62.43,17.04,15.31,4.17
2025-04-14,0.17,0.18,20.95,57.24,25.67,45.71,45.71,43.86,17.34,12.98,4.81
2025-04-15,0.13,0.13,20.43,60.29,29.62,62.33,62.33,63.57,10.94,6.04,4.1
2025-04-16,0.13,0.12,21.04,61.22,29.65,53.96,53.96,56.61,7.25,3.86,4.48
2025-04-17,0.16,0.17,45.0,94.0,25.83,17.33,17.33,25.67,8.91,5.13,6.0
2025-04-22,0.58,0.47,15.6,51.8,28.3,49.0,49.0,57.6,12.58,8.72,5.3
2025-04-23,0.45,0.51,38.92,84.23,25.23,15.38,15.38,18.23,15.94,9.63,7.92
2025-04-24,0.16,0.15,20.22,56.0,25.61,35.83,35.83,36.3,15.54,9.32,7.61
2025-04-25,0.22,0.19,35.92,79.17,24.5,26.58,26.58,26.42,14.78,9.68,8.5
2025-04-26,0.18,0.19,13.9,48.67,28.05,53.29,53.29,50.81,10.02,6.42,4.67
2025-04-27,0.14,0.13,9.04,39.26,26.0,54.78,54.78,59.43,8.31,6.03,4.78
2025-04-28,0.3,0.26,25.71,62.57,23.43,7.71,7.71,14.29,12.93,9.7,5.43
2025-05-01,0.54,0.53,13.78,45.04,24.48,48.43,48.43,50.91,13.5,6.99,13.48
2025-05-02,0.55,0.57,14.07,46.2,25.47,44.2,44.2,36.33,20.76,12.59,5.27
2025-05-03,0.53,0.53,16.32,48.32,23.91,46.91,46.91,46.82,11.31,6.49,5.95
2025-05-04,0.69,0.62,16.87,49.09,23.96,34.57,34.57,32.74,10.75,8.09,5.91
2025-05-05,0.97,0.92,8.83,40.08,27.25,48.5,48.5,49.75,11.6,8.55,4.58
2025-05-06,0.59,0.6,11.65,45.74,28.48,61.7,61.7,63.7,6.01,3.44,5.04
2025-05-07,0.57,0.57,14.91,48.39,26.22,48.61,48.61,47.7,4.61,2.75,5.13
2025-05-08,0.61,0.6,22.32,61.23,27.64,46.82,46.82,43.55,5.2,2.86,5.68
2025-05-09,0.67,0.67,37.43,84.3,27.43,25.39,25.39,28.78,5.12,3.12,5.43
2025-05-10,0.56,0.57,31.39,72.17,24.65,29.57,29.57,31.43,4.21,3.15,5.0
2025-05-11,0.53,0.53,12.61,42.17,23.43,52.74,52.74,44.22,3.82,2.82,4.91
2025-05-12,0.61,0.58,15.33,48.07,25.53,42.53,42.53,60.4,3.74,2.27,5.8
2025-05-13,0.62,0.63,27.17,65.74,24.91,34.52,34.52,33.74,3.73,2.22,5.91
2025-05-14,0.56,0.56,18.74,52.61,24.7,39.13,39.13,39.22,3.78,2.2,8.74
2025-05-15,0.57,0.56,16.09,51.52,27.96,49.78,49.78,49.74,3.46,1.99,12.57
2025-05-16,0.62,0.61,26.17,65.17,25.74,50.48,50.48,50.57,3.75,2.16,5.78
2025-05-17,0.6,0.59,12.91,44.7,25.26,49.04,49.04,51.22,4.36,3.07,7.65
2025-05-18,0.63,0.64,16.83,51.22,26.13,40.3,40.3,40.17,4.15,2.91,10.65
2025-05-19,0.61,0.61,9.73,44.27,30.09,58.18,58.18,54.36,4.07,2.59,7.91
2025-05-26,0.15,0.15,8.88,39.25,26.38,60.38,60.38,61.75,5.69,5.48,1.62
2025-05-27,0.16,0.17,11.48,43.17,26.04,50.17,50.17,49.09,6.27,4.16,6.35
2025-05-28,0.17,0.16,21.6,58.4,25.7,28.1,28.1,45.0,14.33,8.86,6.0
2025-05-29,0.24,0.24,27.87,68.17,26.13,34.7,34.7,35.22,14.76,9.12,4.17
2025-05-30,0.28,0.35,18.88,54.82,26.41,37.06,37.06,39.41,17.97,10.84,5.41
2025-05-31,0.21,0.2,10.95,40.05,23.95,47.6,47.6,47.75,13.52,9.83,2.55
2025-06-01,0.14,0.14,14.83,44.0,21.74,38.43,38.43,40.3,7.03,5.4,3.39
2025-06-02,0.21,0.17,19.78,53.78,23.78,36.11,36.11,39.22,5.59,3.86,2.0
2025-06-06,0.19,0.19,14.7,45.0,23.13,31.83,31.83,31.17,10.46,5.8,3.57
2025-06-07,0.16,0.16,5.83,25.04,16.57,53.65,53.65,52.65,8.54,5.13,4.13
2025-06-08,0.23,0.22,4.5,21.2,14.6,53.05,53.05,49.8,8.74,6.49,2.9
2025-06-09,0.34,0.31,15.4,51.3,28.3,20.0,20.0,28.7,16.42,13.44,3.7
2025-06-13,0.33,0.33,12.32,40.82,22.59,36.91,36.91,36.95,34.27,26.44,5.27
2025-06-14,0.27,0.28,6.67,29.22,19.39,47.22,47.22,47.44,24.24,18.15,3.17
2025-06-15,0.22,0.22,7.95,28.14,16.67,42.76,42.76,44.81,10.7,8.38,1.81
2025-06-16,0.23,0.24,15.1,41.6,18.7,22.7,22.7,21.5,11.68,8.45,1.2
2025-06-20,0.31,0.26,19.17,58.33,30.0,21.17,21.17,27.17,37.71,24.65,3.5
2025-06-21,0.27,0.27,7.95,27.75,16.25,41.0,41.0,44.35,31.32,20.23,1.4
2025-06-22,0.32,0.32,11.08,30.15,13.54,35.54,35.54,33.23,20.41,13.86,1.54
2025-07-17,0.24,0.27,12.61,36.89,18.11,48.83,48.83,43.89,24.72,16.77,1.44
2025-07-18,0.13,0.14,6.11,20.89,12.22,40.44,40.44,45.67,21.01,14.09,0.0
2025-07-19,0.12,0.12,7.52,26.17,14.74,41.39,41.39,42.13,10.25,7.38,1.09
2025-07-20,0.1,0.11,4.87,21.0,13.87,55.65,55.65,53.96,11.13,7.04,3.26
2025-07-21,0.17,0.16,11.35,37.52,20.74,39.65,39.65,40.65,16.89,8.98,2.61
2025-07-22,0.2,0.21,9.7,35.91,21.7,45.43,45.43,44.65,15.5,7.45,1.87
2025-07-23,0.16,0.16,5.74,25.74,17.57,49.52,49.52,49.7,12.33,6.13,2.39
2025-07-24,0.16,0.15,8.0,26.2,14.47,46.93,46.93,51.87,9.94,5.03,0.73
2025-07-25,0.22,0.2,6.29,25.62,16.57,46.62,46.62,49.57,15.41,11.92,1.19
2025-07-26,0.25,0.25,8.3,32.61,20.35,43.09,43.09,41.57,18.1,15.67,2.74
2025-07-27,0.26,0.26,6.1,21.52,12.62,40.76,40.76,42.38,15.0,13.45,1.62
2025-07-28,0.3,0.29,7.09,26.83,16.26,46.3,46.3,43.74,8.66,6.07,0.17
2025-07-29,0.25,0.25,6.35,25.3,15.87,51.83,51.83,52.91,11.29,7.25,0.04
2025-07-30,0.27,0.26,9.91,31.3,16.57,27.0,27.0,31.22,9.03,5.6,0.13
2025-07-31,0.25,0.24,6.65,22.43,12.65,44.17,44.17,42.3,6.56,3.98,0.0
2025-08-01,0.28,0.29,9.22,29.65,16.04,34.22,34.22,34.35,10.1,6.66,0.3
2025-08-02,0.26,0.27,4.87,18.09,11.09,56.87,56.87,51.61,8.14,5.35,0.0
2025-08-03,0.27,0.27,4.78,19.13,12.04,59.74,59.74,59.48,11.25,8.15,0.17
2025-08-04,0.32,0.3,11.08,39.0,22.54,37.23,37.23,51.46,15.25,10.23,1.54
2025-08-05,0.34,0.35,8.8,31.85,19.0,47.85,47.85,49.9,17.85,12.16,1.9
2025-08-06,0.26,0.28,5.29,22.81,15.1,54.38,54.38,50.95,11.75,7.15,1.57
2025-08-07,0.26,0.24,8.0,39.25,27.0,18.25,18.25,44.5,14.64,8.71,3.0
2025-08-08,0.21,0.23,1.67,18.67,16.44,75.0,75.0,82.56,16.45,9.53,0.89
2025-08-09,0.24,0.22,4.78,24.61,17.52,53.43,53.43,53.43,12.55,7.75,1.61
2025-08-10,0.29,0.29,4.52,27.67,21.19,49.19,49.19,54.76,14.89,10.55,0.0
2025-08-11,0.35,0.36,7.38,38.05,27.29,59.9,59.9,55.86,27.86,17.16,0.48
2025-08-12,0.33,0.32,7.79,46.47,35.0,49.89,49.89,49.32,34.18,19.98,3.63
2025-08-13,0.32,0.33,7.21,38.43,28.0,50.29,50.29,46.36,38.49,22.58,0.71
2025-08-14,0.29,0.29,4.78,23.17,16.22,60.39,60.39,52.44,29.79,21.6,2.33
2025-08-15,0.32,0.29,4.57,40.29,34.0,51.57,51.57,83.43,29.52,22.07,2.57
2025-08-16,0.39,0.38,2.46,17.69,14.38,65.92,65.92,59.23,31.83,23.66,2.31
2025-08-17,0.33,0.32,3.06,22.06,17.67,65.61,65.61,66.67,27.62,24.03,2.83
2025-08-18,0.25,0.27,3.67,24.73,19.73,54.87,54.87,59.33,22.36,17.74,2.67
2025-08-19,0.25,0.24,10.4,36.2,20.8,30.4,30.4,29.5,17.52,12.81,4.05
2025-08-20,0.27,0.28,9.68,32.05,17.64,44.64,44.64,41.23,11.34,7.57,3.05
2025-08-21,0.24,0.24,3.93,23.8,18.13,68.6,68.6,72.6,11.28,8.08,2.13
2025-08-22,0.26,0.24,4.07,23.73,17.8,69.67,69.67,68.47,13.16,9.14,2.33
2025-08-23,0.31,0.31,8.26,34.48,22.3,51.74,51.74,52.3,13.41,9.02,3.0
2025-08-24,0.3,0.34,3.23,28.46,23.85,63.31,63.31,68.23,15.33,11.11,3.92
2025-08-25,0.34,0.32,5.07,29.73,22.67,59.07,59.07,70.6,19.98,14.82,3.27
2025-08-26,0.33,0.34,2.75,22.65,19.0,65.25,65.25,65.8,23.34,17.74,3.4
2025-08-27,0.3,0.27,4.38,23.38,17.0,45.25,45.25,44.0,16.2,10.62,4.38
2025-08-29,0.18,0.18,5.52,26.43,18.61,53.96,53.96,52.17,13.83,7.19,3.74
2025-08-30,0.2,0.2,5.78,23.96,15.48,44.04,44.04,47.39,10.37,5.78,3.22
2025-08-31,0.23,0.22,9.09,34.18,20.86,33.5,33.5,33.91,9.19,5.19,3.77
2025-09-01,0.32,0.32,16.7,48.2,23.6,15.9,15.9,14.3,11.9,6.69,4.0
2025-09-05,0.23,0.23,13.3,39.74,20.0,39.83,39.83,39.91,13.36,7.58,4.0
2025-09-06,0.22,0.23,8.65,28.87,15.78,58.87,58.87,52.83,14.53,8.22,3.22
2025-09-07,0.2,0.2,3.19,16.31,11.81,65.0,65.0,69.12,18.17,8.51,3.06
2025-09-08,0.2,0.2,9.5,34.9,21.0,45.4,45.4,51.5,12.87,7.98,6.7
2025-09-12,0.24,0.25,5.5,27.77,19.82,29.36,29.36,29.68,13.35,7.59,3.0
2025-09-13,0.25,0.23,5.57,29.43,21.39,28.13,28.13,29.74,15.56,9.26,3.13
2025-09-14,0.25,0.28,7.91,32.61,21.09,19.74,19.74,20.0,13.26,7.84,3.17
2025-09-15,0.24,0.21,6.5,25.67,16.17,13.5,13.5,17.5,9.73,5.37,3.0
2025-10-03,0.33,0.32,24.78,79.39,42.35,28.96,28.96,30.35,25.73,14.81,7.91
2025-10-04,0.24,0.26,10.86,45.0,29.0,33.0,33.0,30.77,22.02,15.21,6.86
2025-10-05,0.24,0.23,4.71,29.14,22.62,35.24,35.24,41.05,13.25,8.13,4.52
2025-10-06,0.25,0.24,13.71,46.0,25.52,29.1,29.1,28.95,13.44,8.38,4.81
2025-10-07,0.4,0.35,47.33,115.0,43.5,21.17,21.17,12.0,17.49,9.79,7.67
2025-10-08,0.38,0.36,40.0,93.62,33.25,34.5,34.5,14.88,24.42,11.55,7.88
2025-10-10,0.23,0.33,3.67,26.67,21.33,41.67,41.67,43.33,16.52,10.25,4.0
2025-10-11,0.35,0.33,16.12,70.62,46.88,18.12,18.12,36.0,16.12,11.64,5.38
2025-10-12,0.26,0.27,10.95,46.29,30.38,30.52,30.52,27.81,16.86,11.8,5.62
2025-10-17,0.27,0.27,16.26,61.96,38.04,33.48,33.48,35.13,25.17,18.77,9.22
2025-10-18,0.3,0.29,17.61,67.65,41.65,27.17,27.17,24.91,24.18,17.79,6.61
2025-10-19,0.14,0.18,0.65,10.41,9.47,76.71,76.71,65.47,20.05,12.11,5.06
2025-10-20,0.24,0.2,6.0,29.43,20.71,41.29,41.29,58.43,13.72,7.37,4.71
2025-10-24,0.16,0.19,13.43,46.57,27.0,43.29,43.29,30.0,19.57,10.89,7.57
2025-10-25,0.25,0.26,9.21,44.63,31.16,32.0,32.0,30.26,14.54,8.79,6.74
2025-10-26,0.16,0.16,3.43,26.7,22.04,43.74,43.74,46.39,8.47,5.06,5.96
2025-10-27,0.07,0.1,19.5,58.5,29.2,12.2,12.2,16.1,9.78,5.52,7.3
