Date;Hour  (GMT);NO (µg/m3);NOX (µg/m3);NO2;NO2 - ICA;O3 (µg/m3);OZONO;O3 - ICA;O3 8h (µg/m3);PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;SO2;SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
31/12/2024;24:00;19;50;21;Muy bueno / Oso ona;4;4;Muy bueno / Oso ona;8;16,46;Muy bueno / Oso ona;13,58;Bueno / Ona;3;Muy bueno / Oso ona;339;99;1029,7;0;0,4;2,8;0,13;Bueno / Ona
31/12/2024;23:00;12;42;25;Muy bueno / Oso ona;4;4;Muy bueno / Oso ona;10;15,67;Muy bueno / Oso ona;12,88;Bueno / Ona;2;Muy bueno / Oso ona;181;100;1029,9;0;0,4;3,3;0,49;Bueno / Ona
31/12/2024;22:00;10;38;22;Muy bueno / Oso ona;4;4;Muy bueno / Oso ona;13;15,58;Muy bueno / Oso ona;12,71;Bueno / Ona;2;Muy bueno / Oso ona;180;100;1030;0;0,4;3,8;0,91;Bueno / Ona
31/12/2024;21:00;16;48;25;Muy bueno / Oso ona;5;5;Muy bueno / Oso ona;15;15,46;Muy bueno / Oso ona;12,5;Bueno / Ona;3;Muy bueno / Oso ona;189;100;1030,1;0;0,4;4,9;1,01;Bueno / Ona
31/12/2024;20:00;6;32;23;Muy bueno / Oso ona;8;8;Muy bueno / Oso ona;18;15,38;Muy bueno / Oso ona;12,25;Bueno / Ona;2;Muy bueno / Oso ona;213;100;1030;0;0,4;5,3;1,96;Bueno / Ona
31/12/2024;19:00;7;32;21;Muy bueno / Oso ona;9;9;Muy bueno / Oso ona;20;15,33;Muy bueno / Oso ona;12,04;Bueno / Ona;3;Muy bueno / Oso ona;240;98;1029,9;0;0,4;5,6;1,35;Bueno / Ona
31/12/2024;18:00;8;34;22;Muy bueno / Oso ona;9;9;Muy bueno / Oso ona;20;15,29;Muy bueno / Oso ona;11,88;Bueno / Ona;3;Muy bueno / Oso ona;346;97;1029,6;0;0,5;6,5;1,52;Bueno / Ona
31/12/2024;17:00;7;29;19;Muy bueno / Oso ona;14;14;Muy bueno / Oso ona;20;15,13;Muy bueno / Oso ona;11,67;Bueno / Ona;2;Muy bueno / Oso ona;13;95;1029,4;0;13,4;6,8;1,62;Bueno / Ona
31/12/2024;16:00;9;30;17;Muy bueno / Oso ona;19;19;Muy bueno / Oso ona;18;15,08;Muy bueno / Oso ona;11,5;Bueno / Ona;3;Muy bueno / Oso ona;21;91;1029,3;0;29,9;7,6;2,14;Bueno / Ona
31/12/2024;15:00;11;31;15;Muy bueno / Oso ona;23;23;Muy bueno / Oso ona;15;15,08;Muy bueno / Oso ona;11,42;Bueno / Ona;3;Muy bueno / Oso ona;22;91;1029,6;0;243,4;7,6;2,61;Bueno / Ona
