Date;Hour  (GMT);NO (µg/m3);NOX (µg/m3);NO2;NO2 - ICA;O3 (µg/m3);OZONO;O3 - ICA;O3 8h (µg/m3);PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;SO2;SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
31/12/2024;14:00;12;31;13;Muy bueno / Oso ona;25;25;Muy bueno / Oso ona;13;15,17;Muy bueno / Oso ona;11,33;Bueno / Ona;2;Muy bueno / Oso ona;20;88;1029,8;0;327,2;7,8;3,08;Bueno / Ona
31/12/2024;13:00;17;43;17;Muy bueno / Oso ona;25;25;Muy bueno / Oso ona;10;15,33;Muy bueno / Oso ona;11,21;Bueno / Ona;3;Muy bueno / Oso ona;20;80;1030;0;162,3;8,6;3,1;Bueno / Ona
31/12/2024;12:00;13;38;18;Muy bueno / Oso ona;26;26;Muy bueno / Oso ona;7;15,46;Muy bueno / Oso ona;11,13;Bueno / Ona;3;Muy bueno / Oso ona;23;66;1030,5;0;295,5;9,7;1,39;Bueno / Ona
31/12/2024;11:00;18;46;20;Muy bueno / Oso ona;21;21;Muy bueno / Oso ona;4;15,75;Muy bueno / Oso ona;11,17;Bueno / Ona;2;Muy bueno / Oso ona;188;69;1031,1;0;262,7;8,9;0,26;Bueno / Ona
31/12/2024;10:00;55;111;28;Muy bueno / Oso ona;7;7;Muy bueno / Oso ona;3;15,67;Muy bueno / Oso ona;11,04;Bueno / Ona;3;Muy bueno / Oso ona;156;86;1031;0;152,8;4,9;1,01;Bueno / Ona
31/12/2024;09:00;46;94;23;Muy bueno / Oso ona;3;3;Muy bueno / Oso ona;2;15,67;Muy bueno / Oso ona;;Sin datos / Daturik gabe;3;Muy bueno / Oso ona;161;96;1030,8;0;52,3;2;1,43;Muy bueno / Oso ona
31/12/2024;08:00;25;57;20;Muy bueno / Oso ona;2;2;Muy bueno / Oso ona;2;15,71;Muy bueno / Oso ona;;Sin datos / Daturik gabe;3;Muy bueno / Oso ona;165;98;1030,6;0;3;1,1;1,57;Muy bueno / Oso ona
31/12/2024;07:00;20;46;16;Muy bueno / Oso ona;3;3;Muy bueno / Oso ona;2;15,5;Muy bueno / Oso ona;;Sin datos / Daturik gabe;3;Muy bueno / Oso ona;168;98;1030,5;0;0,4;1,1;1,55;Muy bueno / Oso ona
31/12/2024;06:00;5;18;11;Muy bueno / Oso ona;2;2;Muy bueno / Oso ona;2;15,33;Muy bueno / Oso ona;;Sin datos / Daturik gabe;2;Muy bueno / Oso ona;151;98;1030,4;0;0,4;1,4;0,51;Muy bueno / Oso ona
31/12/2024;05:00;5;19;12;Muy bueno / Oso ona;2;2;Muy bueno / Oso ona;2;15,17;Muy bueno / Oso ona;;Sin datos / Daturik gabe;2;Muy bueno / Oso ona;178;98;1030,3;0;0,4;1,7;0,94;Muy bueno / Oso ona
31/12/2024;04:00;5;20;12;Muy bueno / Oso ona;2;2;Muy bueno / Oso ona;2;15,04;Muy bueno / Oso ona;;Sin datos / Daturik gabe;2;Muy bueno / Oso ona;179;98;1030,3;0;0,4;1,9;0,9;Muy bueno / Oso ona
31/12/2024;03:00;4;21;15;Muy bueno / Oso ona;;;Sin datos / Daturik gabe;2;14,83;Muy bueno / Oso ona;9,88;Muy bueno / Oso ona;2;Muy bueno / Oso ona;175;98;1030,1;0;0,4;1,9;1,09;Muy bueno / Oso ona
31/12/2024;02:00;11;31;15;Muy bueno / Oso ona;2;2;Muy bueno / Oso ona;2;14,63;Muy bueno / Oso ona;9,71;Muy bueno / Oso ona;3;Muy bueno / Oso ona;182;98;1029,9;0;0,4;2,1;0,93;Muy bueno / Oso ona
31/12/2024;01:00;14;36;16;Muy bueno / Oso ona;2;2;Muy bueno / Oso ona;3;14,42;Muy bueno / Oso ona;9,5;Muy bueno / Oso ona;2;Muy bueno / Oso ona;168;98;1030;0;0,4;2,3;1,1;Muy bueno / Oso ona
30/12/2024;24:00;27;59;18;Muy bueno / Oso ona;2;2;Muy bueno / Oso ona;6;14,25;Muy bueno / Oso ona;9,33;Muy bueno / Oso ona;3;Muy bueno / Oso ona;35;98;1030,2;0;0,4;3;0,11;Muy bueno / Oso ona
30/12/2024;23:00;40;80;19;Muy bueno / Oso ona;2;2;Muy bueno / Oso ona;9;14,21;Muy bueno / Oso ona;9,29;Muy bueno / Oso ona;3;Muy bueno / Oso ona;171;97;1030;0;0,4;3,4;0,67;Muy bueno / Oso ona
30/12/2024;22:00;52;100;22;Muy bueno / Oso ona;3;3;Muy bueno / Oso ona;13;14,17;Muy bueno / Oso ona;9,25;Muy bueno / Oso ona;3;Muy bueno / Oso ona;178;97;1029,7;0;0,4;4;0,76;Muy bueno / Oso ona
30/12/2024;21:00;55;108;24;Muy bueno / Oso ona;2;2;Muy bueno / Oso ona;16;14,04;Muy bueno / Oso ona;9,13;Muy bueno / Oso ona;3;Muy bueno / Oso ona;176;97;1029,4;0;0,4;4,5;1;Muy bueno / Oso ona
30/12/2024;20:00;50;103;26;Muy bueno / Oso ona;2;2;Muy bueno / Oso ona;19;13,92;Muy bueno / Oso ona;9,04;Muy bueno / Oso ona;3;Muy bueno / Oso ona;182;96;1029,1;0;0,4;5,1;0,89;Muy bueno / Oso ona
30/12/2024;19:00;33;77;26;Muy bueno / Oso ona;3;3;Muy bueno / Oso ona;21;13,96;Muy bueno / Oso ona;9,08;Muy bueno / Oso ona;3;Muy bueno / Oso ona;176;94;1029;0;0,4;5,8;0,78;Muy bueno / Oso ona
30/12/2024;18:00;32;75;27;Muy bueno / Oso ona;4;4;Muy bueno / Oso ona;22;13,88;Muy bueno / Oso ona;9;Muy bueno / Oso ona;3;Muy bueno / Oso ona;6;92;1028,8;0;0,4;7,4;0,41;Muy bueno / Oso ona
30/12/2024;17:00;10;35;20;Muy bueno / Oso ona;16;16;Muy bueno / Oso ona;21;13,71;Muy bueno / Oso ona;8,88;Muy bueno / Oso ona;2;Muy bueno / Oso ona;324;87;1028,3;0;6,5;8,7;1,05;Muy bueno / Oso ona
30/12/2024;16:00;4;20;14;Muy bueno / Oso ona;27;27;Muy bueno / Oso ona;18;13,42;Muy bueno / Oso ona;8,71;Muy bueno / Oso ona;3;Muy bueno / Oso ona;15;84;1028;0;26,2;9,7;1,72;Muy bueno / Oso ona
30/12/2024;15:00;7;23;13;Muy bueno / Oso ona;31;31;Muy bueno / Oso ona;15;13,29;Muy bueno / Oso ona;8,58;Muy bueno / Oso ona;3;Muy bueno / Oso ona;12;83;1027,8;0;251,6;9,8;2,18;Muy bueno / Oso ona
30/12/2024;14:00;12;31;14;Muy bueno / Oso ona;27;27;Muy bueno / Oso ona;11;13,21;Muy bueno / Oso ona;8,5;Muy bueno / Oso ona;3;Muy bueno / Oso ona;23;83;1028,1;0;341,8;9,8;2,68;Muy bueno / Oso ona
30/12/2024;13:00;16;44;20;Muy bueno / Oso ona;27;27;Muy bueno / Oso ona;9;12,92;Muy bueno / Oso ona;8,38;Muy bueno / Oso ona;3;Muy bueno / Oso ona;22;76;1028,5;0;165,1;10,3;2,45;Muy bueno / Oso ona
30/12/2024;12:00;32;81;32;Muy bueno / Oso ona;19;19;Muy bueno / Oso ona;6;13;Muy bueno / Oso ona;8,42;Muy bueno / Oso ona;3;Muy bueno / Oso ona;19;67;1029,4;0;296,2;10,5;1,98;Muy bueno / Oso ona
30/12/2024;11:00;32;78;30;Muy bueno / Oso ona;18;18;Muy bueno / Oso ona;4;12,63;Muy bueno / Oso ona;8,29;Muy bueno / Oso ona;3;Muy bueno / Oso ona;71;65;1030;0;268,3;10,2;0,37;Muy bueno / Oso ona
30/12/2024;10:00;61;124;31;Muy bueno / Oso ona;6;6;Muy bueno / Oso ona;3;12,58;Muy bueno / Oso ona;8,33;Muy bueno / Oso ona;3;Muy bueno / Oso ona;149;82;1029,8;0;159,9;6,5;1,14;Muy bueno / Oso ona
30/12/2024;09:00;79;146;25;Muy bueno / Oso ona;3;3;Muy bueno / Oso ona;3;12,17;Muy bueno / Oso ona;8,29;Muy bueno / Oso ona;3;Muy bueno / Oso ona;172;93;1029,6;0;52,2;3,5;1,08;Muy bueno / Oso ona
30/12/2024;08:00;45;88;20;Muy bueno / Oso ona;1;1;Muy bueno / Oso ona;3;11,83;Muy bueno / Oso ona;8,25;Muy bueno / Oso ona;3;Muy bueno / Oso ona;167;96;1029,1;0;2,9;2,4;1,37;Muy bueno / Oso ona
30/12/2024;07:00;28;58;16;Muy bueno / Oso ona;2;2;Muy bueno / Oso ona;4;11,92;Muy bueno / Oso ona;8,29;Muy bueno / Oso ona;3;Muy bueno / Oso ona;165;97;1028,8;0;0,4;2,5;1,26;Muy bueno / Oso ona
30/12/2024;06:00;11;28;12;Muy bueno / Oso ona;2;2;Muy bueno / Oso ona;4;12;Muy bueno / Oso ona;8,33;Muy bueno / Oso ona;2;Muy bueno / Oso ona;148;97;1028,6;0;0,4;2,9;0,82;Muy bueno / Oso ona
30/12/2024;05:00;4;17;11;Muy bueno / Oso ona;5;5;Muy bueno / Oso ona;3;12,08;Muy bueno / Oso ona;8,38;Muy bueno / Oso ona;3;Muy bueno / Oso ona;165;98;1028,6;0;0,4;3;1,63;Muy bueno / Oso ona
30/12/2024;04:00;4;16;9;Muy bueno / Oso ona;5;5;Muy bueno / Oso ona;3;12,17;Muy bueno / Oso ona;8,42;Muy bueno / Oso ona;2;Muy bueno / Oso ona;167;98;1028,8;0;0,4;3,5;1,56;Muy bueno / Oso ona
30/12/2024;03:00;5;18;11;Muy bueno / Oso ona;;;Sin datos / Daturik gabe;3;12,38;Muy bueno / Oso ona;8,5;Muy bueno / Oso ona;3;Muy bueno / Oso ona;171;98;1029,1;0;0,4;3,8;1,51;Muy bueno / Oso ona
30/12/2024;02:00;4;17;11;Muy bueno / Oso ona;4;4;Muy bueno / Oso ona;3;12,58;Muy bueno / Oso ona;8,58;Muy bueno / Oso ona;3;Muy bueno / Oso ona;161;98;1029,2;0;0,4;3,9;1,62;Muy bueno / Oso ona
30/12/2024;01:00;5;25;17;Muy bueno / Oso ona;3;3;Muy bueno / Oso ona;5;12,75;Muy bueno / Oso ona;8,67;Muy bueno / Oso ona;3;Muy bueno / Oso ona;160;98;1029,6;0;0,4;4,3;1,62;Muy bueno / Oso ona
29/12/2024;24:00;8;31;19;Muy bueno / Oso ona;2;2;Muy bueno / Oso ona;10;12,92;Muy bueno / Oso ona;8,79;Muy bueno / Oso ona;3;Muy bueno / Oso ona;138;98;1029,9;0;0,4;4,6;0,8;Muy bueno / Oso ona
29/12/2024;23:00;21;55;22;Muy bueno / Oso ona;2;2;Muy bueno / Oso ona;15;13,04;Muy bueno / Oso ona;8,88;Muy bueno / Oso ona;3;Muy bueno / Oso ona;173;97;1029,7;0;0,4;5,2;0,35;Muy bueno / Oso ona
29/12/2024;22:00;19;51;23;Muy bueno / Oso ona;3;3;Muy bueno / Oso ona;21;13,21;Muy bueno / Oso ona;8,92;Muy bueno / Oso ona;3;Muy bueno / Oso ona;173;97;1029,6;0;0,4;5,5;0,98;Muy bueno / Oso ona
29/12/2024;21:00;36;85;30;Muy bueno / Oso ona;3;3;Muy bueno / Oso ona;27;13,42;Muy bueno / Oso ona;9;Muy bueno / Oso ona;3;Muy bueno / Oso ona;176;97;1029,5;0;0,4;6,3;1,07;Muy bueno / Oso ona
29/12/2024;20:00;34;80;29;Muy bueno / Oso ona;2;2;Muy bueno / Oso ona;32;13,42;Muy bueno / Oso ona;8,96;Muy bueno / Oso ona;3;Muy bueno / Oso ona;179;95;1029,3;0;0,4;6,9;0,78;Muy bueno / Oso ona
29/12/2024;19:00;27;71;30;Muy bueno / Oso ona;4;4;Muy bueno / Oso ona;35;13,25;Muy bueno / Oso ona;8,88;Muy bueno / Oso ona;4;Muy bueno / Oso ona;177;93;1029,2;0;0,4;8,1;0,57;Muy bueno / Oso ona
29/12/2024;18:00;17;54;28;Muy bueno / Oso ona;12;12;Muy bueno / Oso ona;37;13,17;Muy bueno / Oso ona;8,88;Muy bueno / Oso ona;3;Muy bueno / Oso ona;116;90;1029;0;0,4;9,7;0,23;Muy bueno / Oso ona
29/12/2024;17:00;6;28;19;Muy bueno / Oso ona;32;32;Muy bueno / Oso ona;35;12,96;Muy bueno / Oso ona;8,75;Muy bueno / Oso ona;3;Muy bueno / Oso ona;334;83;1028,8;0;6,3;11,6;1,12;Muy bueno / Oso ona
29/12/2024;16:00;4;17;11;Muy bueno / Oso ona;43;43;Muy bueno / Oso ona;30;12,83;Muy bueno / Oso ona;8,71;Muy bueno / Oso ona;3;Muy bueno / Oso ona;1;80;1028,7;0;25,9;12,4;1,38;Muy bueno / Oso ona
29/12/2024;15:00;4;15;9;Muy bueno / Oso ona;46;46;Muy bueno / Oso ona;25;12,67;Muy bueno / Oso ona;8,63;Muy bueno / Oso ona;3;Muy bueno / Oso ona;18;81;1028,8;0;244,4;12,1;2,39;Muy bueno / Oso ona
29/12/2024;14:00;5;18;10;Muy bueno / Oso ona;46;46;Muy bueno / Oso ona;20;12,46;Muy bueno / Oso ona;8,67;Muy bueno / Oso ona;3;Muy bueno / Oso ona;23;79;1029;0;338,9;12,1;2,85;Muy bueno / Oso ona
29/12/2024;13:00;7;23;13;Muy bueno / Oso ona;47;47;Muy bueno / Oso ona;15;12,21;Muy bueno / Oso ona;8,58;Muy bueno / Oso ona;3;Muy bueno / Oso ona;22;72;1029,4;0;167,6;12,6;2,78;Muy bueno / Oso ona
29/12/2024;12:00;9;30;16;Muy bueno / Oso ona;38;38;Muy bueno / Oso ona;11;11,58;Muy bueno / Oso ona;8,29;Muy bueno / Oso ona;3;Muy bueno / Oso ona;12;63;1030;0;289,3;15,5;1,03;Muy bueno / Oso ona
29/12/2024;11:00;14;40;19;Muy bueno / Oso ona;27;27;Muy bueno / Oso ona;8;11,71;Muy bueno / Oso ona;8,29;Muy bueno / Oso ona;3;Muy bueno / Oso ona;167;74;1030,5;0;264,9;12;0,66;Muy bueno / Oso ona
29/12/2024;10:00;31;71;24;Muy bueno / Oso ona;10;10;Muy bueno / Oso ona;7;12,54;Muy bueno / Oso ona;8,46;Muy bueno / Oso ona;3;Muy bueno / Oso ona;156;87;1030,5;0;151,4;8,7;1,59;Muy bueno / Oso ona
29/12/2024;09:00;16;40;15;Muy bueno / Oso ona;6;6;Muy bueno / Oso ona;7;13,17;Muy bueno / Oso ona;8,46;Muy bueno / Oso ona;3;Muy bueno / Oso ona;157;97;1030,2;0;49,5;6,2;1,6;Muy bueno / Oso ona
29/12/2024;08:00;12;32;14;Muy bueno / Oso ona;2;2;Muy bueno / Oso ona;7;13,42;Muy bueno / Oso ona;8,42;Muy bueno / Oso ona;3;Muy bueno / Oso ona;170;97;1029,9;0;3,3;6;1,16;Muy bueno / Oso ona
29/12/2024;07:00;5;19;11;Muy bueno / Oso ona;5;5;Muy bueno / Oso ona;8;13,38;Muy bueno / Oso ona;8,29;Muy bueno / Oso ona;3;Muy bueno / Oso ona;167;96;1029,6;0;0,4;6,9;1,18;Muy bueno / Oso ona
29/12/2024;06:00;5;19;11;Muy bueno / Oso ona;6;6;Muy bueno / Oso ona;8;13,21;Muy bueno / Oso ona;8,13;Muy bueno / Oso ona;3;Muy bueno / Oso ona;167;95;1029,3;0;0,4;7,7;1,16;Muy bueno / Oso ona
29/12/2024;05:00;3;17;12;Muy bueno / Oso ona;8;8;Muy bueno / Oso ona;8;13;Muy bueno / Oso ona;7,96;Muy bueno / Oso ona;3;Muy bueno / Oso ona;184;94;1029,4;0;0,4;8;1,12;Muy bueno / Oso ona
29/12/2024;04:00;3;19;15;Muy bueno / Oso ona;10;10;Muy bueno / Oso ona;6;12,79;Muy bueno / Oso ona;7,75;Muy bueno / Oso ona;3;Muy bueno / Oso ona;190;91;1029,4;0;0,4;8,3;0,85;Muy bueno / Oso ona
29/12/2024;03:00;2;21;18;Muy bueno / Oso ona;;;Sin datos / Daturik gabe;5;12,46;Muy bueno / Oso ona;7,5;Muy bueno / Oso ona;3;Muy bueno / Oso ona;160;91;1029,6;0;0,4;8,4;1,36;Muy bueno / Oso ona
29/12/2024;02:00;2;23;20;Muy bueno / Oso ona;9;9;Muy bueno / Oso ona;5;12,08;Muy bueno / Oso ona;7,21;Muy bueno / Oso ona;3;Muy bueno / Oso ona;162;92;1029,6;0;0,4;8,1;1,44;Muy bueno / Oso ona
29/12/2024;01:00;3;25;20;Muy bueno / Oso ona;9;9;Muy bueno / Oso ona;7;11,75;Muy bueno / Oso ona;6,92;Muy bueno / Oso ona;3;Muy bueno / Oso ona;166;90;1029,9;0;0,4;8,3;1,34;Muy bueno / Oso ona
28/12/2024;24:00;6;34;25;Muy bueno / Oso ona;7;7;Muy bueno / Oso ona;10;11,54;Muy bueno / Oso ona;6,71;Muy bueno / Oso ona;3;Muy bueno / Oso ona;167;90;1030,1;0;0,4;8,7;1,52;Muy bueno / Oso ona
28/12/2024;23:00;8;42;31;Muy bueno / Oso ona;7;7;Muy bueno / Oso ona;15;11,29;Muy bueno / Oso ona;6,46;Muy bueno / Oso ona;3;Muy bueno / Oso ona;162;90;1030,3;0;0,4;8,8;1,56;Muy bueno / Oso ona
28/12/2024;22:00;21;65;34;Muy bueno / Oso ona;4;4;Muy bueno / Oso ona;22;10,96;Muy bueno / Oso ona;6,25;Muy bueno / Oso ona;3;Muy bueno / Oso ona;198;92;1030,3;0;0,4;8,6;1,53;Muy bueno / Oso ona
28/12/2024;21:00;26;71;32;Muy bueno / Oso ona;2;2;Muy bueno / Oso ona;28;10,63;Muy bueno / Oso ona;6,04;Muy bueno / Oso ona;3;Muy bueno / Oso ona;164;95;1030,5;0;0,4;7,5;0,95;Muy bueno / Oso ona
28/12/2024;20:00;36;83;28;Muy bueno / Oso ona;2;2;Muy bueno / Oso ona;34;10,5;Muy bueno / Oso ona;5,96;Muy bueno / Oso ona;3;Muy bueno / Oso ona;176;95;1030,3;0;0,4;7;0,87;Muy bueno / Oso ona
28/12/2024;19:00;29;73;29;Muy bueno / Oso ona;4;4;Muy bueno / Oso ona;38;10,54;Muy bueno / Oso ona;5,92;Muy bueno / Oso ona;3;Muy bueno / Oso ona;177;92;1029,7;0;0,4;7,8;0,9;Muy bueno / Oso ona
28/12/2024;18:00;18;53;27;Muy bueno / Oso ona;9;9;Muy bueno / Oso ona;38;10,58;Muy bueno / Oso ona;5,83;Muy bueno / Oso ona;3;Muy bueno / Oso ona;169;88;1029,2;0;0,4;9,4;0,57;Muy bueno / Oso ona
28/12/2024;17:00;11;31;14;Muy bueno / Oso ona;26;26;Muy bueno / Oso ona;36;10,92;Muy bueno / Oso ona;5,96;Muy bueno / Oso ona;3;Muy bueno / Oso ona;327;78;1028,7;0;6,3;11,2;0,67;Muy bueno / Oso ona
28/12/2024;16:00;4;16;10;Muy bueno / Oso ona;43;43;Muy bueno / Oso ona;33;11,29;Muy bueno / Oso ona;6,04;Muy bueno / Oso ona;3;Muy bueno / Oso ona;332;73;1028,5;0;25,1;12,6;1,66;Muy bueno / Oso ona
28/12/2024;15:00;1;8;6;Muy bueno / Oso ona;56;56;Muy bueno / Oso ona;28;11,92;Muy bueno / Oso ona;6,25;Muy bueno / Oso ona;3;Muy bueno / Oso ona;331;74;1028,3;0;242,5;12,8;2,1;Muy bueno / Oso ona
28/12/2024;14:00;3;12;8;Muy bueno / Oso ona;56;56;Muy bueno / Oso ona;21;12,54;Muy bueno / Oso ona;6,38;Muy bueno / Oso ona;3;Muy bueno / Oso ona;332;74;1028,3;0;341,9;12,9;2,4;Muy bueno / Oso ona
28/12/2024;13:00;5;15;7;Muy bueno / Oso ona;54;54;Muy bueno / Oso ona;16;12,63;Muy bueno / Oso ona;6,46;Muy bueno / Oso ona;3;Muy bueno / Oso ona;333;72;1028,6;0;169,6;12,9;2,61;Muy bueno / Oso ona
28/12/2024;12:00;6;20;11;Muy bueno / Oso ona;49;49;Muy bueno / Oso ona;10;13,08;Muy bueno / Oso ona;6,75;Muy bueno / Oso ona;3;Muy bueno / Oso ona;328;70;1029,3;0;287,3;12,9;3,13;Muy bueno / Oso ona
28/12/2024;11:00;112;223;52;Bueno / Ona;9;9;Muy bueno / Oso ona;8;13,04;Muy bueno / Oso ona;6,79;Muy bueno / Oso ona;4;Muy bueno / Oso ona;32;66;1029,6;0;270;12,9;0,63;Bueno / Ona
28/12/2024;10:00;90;178;41;Bueno / Ona;8;8;Muy bueno / Oso ona;8;12,13;Muy bueno / Oso ona;6,54;Muy bueno / Oso ona;4;Muy bueno / Oso ona;202;80;1029,5;0;158,2;8,7;0,64;Bueno / Ona
28/12/2024;09:00;26;69;30;Muy bueno / Oso ona;7;7;Muy bueno / Oso ona;8;11,38;Muy bueno / Oso ona;6,42;Muy bueno / Oso ona;3;Muy bueno / Oso ona;170;92;1029;0;51,2;5,1;1,75;Muy bueno / Oso ona
28/12/2024;08:00;13;46;27;Muy bueno / Oso ona;7;7;Muy bueno / Oso ona;8;11,04;Muy bueno / Oso ona;6,42;Muy bueno / Oso ona;2;Muy bueno / Oso ona;178;94;1028,7;0;3,1;4,1;1,91;Muy bueno / Oso ona
28/12/2024;07:00;8;30;18;Muy bueno / Oso ona;6;6;Muy bueno / Oso ona;7;10,96;Muy bueno / Oso ona;6,5;Muy bueno / Oso ona;3;Muy bueno / Oso ona;189;95;1028,4;0;0,4;3,8;1,12;Muy bueno / Oso ona
28/12/2024;06:00;3;17;12;Muy bueno / Oso ona;9;9;Muy bueno / Oso ona;6;11;Muy bueno / Oso ona;6,67;Muy bueno / Oso ona;2;Muy bueno / Oso ona;176;96;1028,1;0;0,4;3,7;0,38;Muy bueno / Oso ona
28/12/2024;05:00;4;16;11;Muy bueno / Oso ona;10;10;Muy bueno / Oso ona;5;11,21;Muy bueno / Oso ona;6,92;Muy bueno / Oso ona;3;Muy bueno / Oso ona;169;95;1028,1;0;0,4;3,9;1,21;Muy bueno / Oso ona
28/12/2024;04:00;2;13;10;Muy bueno / Oso ona;9;9;Muy bueno / Oso ona;3;11,46;Muy bueno / Oso ona;7,21;Muy bueno / Oso ona;3;Muy bueno / Oso ona;176;95;1028,1;0;0,4;4,3;1,1;Muy bueno / Oso ona
28/12/2024;03:00;4;18;13;Muy bueno / Oso ona;;;Sin datos / Daturik gabe;2;11,71;Muy bueno / Oso ona;7,5;Muy bueno / Oso ona;3;Muy bueno / Oso ona;173;94;1028,1;0;0,4;4,7;1,17;Muy bueno / Oso ona
28/12/2024;02:00;4;20;13;Muy bueno / Oso ona;8;8;Muy bueno / Oso ona;2;12,33;Muy bueno / Oso ona;7,92;Muy bueno / Oso ona;3;Muy bueno / Oso ona;176;94;1027,8;0;0,4;4,9;1,07;Muy bueno / Oso ona
28/12/2024;01:00;7;31;21;Muy bueno / Oso ona;5;5;Muy bueno / Oso ona;3;12,79;Muy bueno / Oso ona;8,29;Muy bueno / Oso ona;3;Muy bueno / Oso ona;166;94;1027,9;0;0,4;5,4;1,31;Muy bueno / Oso ona
27/12/2024;24:00;18;51;24;Muy bueno / Oso ona;2;2;Muy bueno / Oso ona;4;13;Muy bueno / Oso ona;8,54;Muy bueno / Oso ona;3;Muy bueno / Oso ona;181;95;1028;0;0,4;5,5;0,62;Muy bueno / Oso ona
27/12/2024;23:00;25;63;25;Muy bueno / Oso ona;2;2;Muy bueno / Oso ona;6;13,42;Muy bueno / Oso ona;8,92;Muy bueno / Oso ona;4;Muy bueno / Oso ona;163;94;1028,1;0;0,4;5,8;0,79;Muy bueno / Oso ona
27/12/2024;22:00;33;81;31;Muy bueno / Oso ona;2;2;Muy bueno / Oso ona;9;13,67;Muy bueno / Oso ona;9,17;Muy bueno / Oso ona;4;Muy bueno / Oso ona;180;95;1027,9;0;0,4;6,2;0,92;Muy bueno / Oso ona
27/12/2024;21:00;39;93;34;Muy bueno / Oso ona;2;2;Muy bueno / Oso ona;11;14,04;Muy bueno / Oso ona;9,38;Muy bueno / Oso ona;4;Muy bueno / Oso ona;188;96;1028;0;0,4;6,8;0,91;Muy bueno / Oso ona
27/12/2024;20:00;49;105;31;Muy bueno / Oso ona;2;2;Muy bueno / Oso ona;12;14,46;Muy bueno / Oso ona;9,54;Muy bueno / Oso ona;3;Muy bueno / Oso ona;185;97;1027,9;0;0,4;7,4;1,06;Muy bueno / Oso ona
27/12/2024;19:00;44;96;28;Muy bueno / Oso ona;2;2;Muy bueno / Oso ona;13;14,63;Muy bueno / Oso ona;9,54;Muy bueno / Oso ona;4;Muy bueno / Oso ona;195;96;1027,7;0;0,4;8,4;0,58;Muy bueno / Oso ona
27/12/2024;18:00;32;74;25;Muy bueno / Oso ona;3;3;Muy bueno / Oso ona;14;14,58;Muy bueno / Oso ona;9,5;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;100;1027,5;0;0,4;;;Muy bueno / Oso ona
