Date;Hour  (GMT);NO (µg/m3);NOX (µg/m3);NO2;NO2 - ICA;O3 (µg/m3);OZONO;O3 - ICA;O3 8h (µg/m3);PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;SO2;SO2 - ICA;ICA Estación
04/11/2025;24:00
04/11/2025;23:00
04/11/2025;22:00
04/11/2025;21:00
04/11/2025;20:00
04/11/2025;19:00
04/11/2025;18:00
04/11/2025;17:00
04/11/2025;16:00
04/11/2025;15:00
04/11/2025;14:00
04/11/2025;13:00
04/11/2025;12:00
04/11/2025;11:00
04/11/2025;10:00
04/11/2025;09:00
04/11/2025;08:00
04/11/2025;07:00
04/11/2025;06:00;0;10;10;Muy bueno / Oso ona;64;64;Muy bueno / Oso ona;;13,96;Muy bueno / Oso ona;5,26;Muy bueno / Oso ona;13;Muy bueno / Oso ona;Muy bueno / Oso ona
04/11/2025;05:00;0;8;8;Muy bueno / Oso ona;65;65;Muy bueno / Oso ona;;14,3;Muy bueno / Oso ona;5,43;Muy bueno / Oso ona;13;Muy bueno / Oso ona;Muy bueno / Oso ona
04/11/2025;04:00;0;5;5;Muy bueno / Oso ona;69;69;Muy bueno / Oso ona;;14,78;Muy bueno / Oso ona;5,65;Muy bueno / Oso ona;12;Muy bueno / Oso ona;Muy bueno / Oso ona
04/11/2025;03:00;0;6;6;Muy bueno / Oso ona;;;Sin datos / Daturik gabe;;15,26;Muy bueno / Oso ona;5,87;Muy bueno / Oso ona;13;Muy bueno / Oso ona;Muy bueno / Oso ona
04/11/2025;02:00;0;6;6;Muy bueno / Oso ona;68;68;Muy bueno / Oso ona;;15,57;Muy bueno / Oso ona;6,04;Muy bueno / Oso ona;12;Muy bueno / Oso ona;Muy bueno / Oso ona
04/11/2025;01:00;0;6;6;Muy bueno / Oso ona;66;66;Muy bueno / Oso ona;;16,09;Muy bueno / Oso ona;6,26;Muy bueno / Oso ona;12;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;24:00;0;6;6;Muy bueno / Oso ona;69;69;Muy bueno / Oso ona;;16,39;Muy bueno / Oso ona;6,48;Muy bueno / Oso ona;12;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;23:00;0;7;7;Muy bueno / Oso ona;69;69;Muy bueno / Oso ona;;17,09;Muy bueno / Oso ona;6,96;Muy bueno / Oso ona;14;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;22:00;0;9;9;Muy bueno / Oso ona;69;69;Muy bueno / Oso ona;;17,35;Muy bueno / Oso ona;7,17;Muy bueno / Oso ona;14;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;21:00;0;11;11;Muy bueno / Oso ona;66;66;Muy bueno / Oso ona;;17,65;Muy bueno / Oso ona;7,39;Muy bueno / Oso ona;14;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;20:00;1;25;23;Muy bueno / Oso ona;44;44;Muy bueno / Oso ona;;17,91;Muy bueno / Oso ona;7,61;Muy bueno / Oso ona;16;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;19:00;13;76;57;Bueno / Ona;2;2;Muy bueno / Oso ona;;17,91;Muy bueno / Oso ona;7,7;Muy bueno / Oso ona;18;Muy bueno / Oso ona;Bueno / Ona
03/11/2025;18:00;23;97;63;Bueno / Ona;3;3;Muy bueno / Oso ona;;17,35;Muy bueno / Oso ona;7,57;Muy bueno / Oso ona;17;Muy bueno / Oso ona;Bueno / Ona
03/11/2025;17:00;2;36;33;Muy bueno / Oso ona;40;40;Muy bueno / Oso ona;;16,78;Muy bueno / Oso ona;7,35;Muy bueno / Oso ona;19;Muy bueno / Oso ona;Muy bueno / Oso ona
