Date;Hour  (GMT);NO (µg/m3);NOX (µg/m3);NO2;NO2 - ICA;O3 (µg/m3);OZONO;O3 - ICA;O3 8h (µg/m3);PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;SO2;SO2 - ICA;ICA Estación
03/11/2025;16:00;1;18;17;Muy bueno / Oso ona;59;59;Muy bueno / Oso ona;;16,39;Muy bueno / Oso ona;7,26;Muy bueno / Oso ona;19;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;15:00;1;12;11;Muy bueno / Oso ona;68;68;Muy bueno / Oso ona;;16,26;Muy bueno / Oso ona;7,22;Muy bueno / Oso ona;14;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;14:00;1;11;10;Muy bueno / Oso ona;67;67;Muy bueno / Oso ona;;16,13;Muy bueno / Oso ona;7,22;Muy bueno / Oso ona;13;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;13:00;1;11;10;Muy bueno / Oso ona;60;60;Muy bueno / Oso ona;;15,67;Muy bueno / Oso ona;7,04;Muy bueno / Oso ona;6;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;12:00;4;20;15;Muy bueno / Oso ona;42;42;Muy bueno / Oso ona;;15,58;Muy bueno / Oso ona;7,04;Muy bueno / Oso ona;7;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;11:00;9;37;24;Muy bueno / Oso ona;26;26;Muy bueno / Oso ona;;15,04;Muy bueno / Oso ona;6,92;Muy bueno / Oso ona;7;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;10:00;16;53;28;Muy bueno / Oso ona;17;17;Muy bueno / Oso ona;;14,29;Muy bueno / Oso ona;6,67;Muy bueno / Oso ona;8;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;09:00;37;87;31;Muy bueno / Oso ona;6;6;Muy bueno / Oso ona;;13,88;Muy bueno / Oso ona;6,54;Muy bueno / Oso ona;8;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;08:00;29;74;31;Muy bueno / Oso ona;3;3;Muy bueno / Oso ona;;13,25;Muy bueno / Oso ona;6,38;Muy bueno / Oso ona;8;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;07:00;20;61;32;Muy bueno / Oso ona;2;2;Muy bueno / Oso ona;;12,88;Muy bueno / Oso ona;6,29;Muy bueno / Oso ona;8;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;06:00;8;39;28;Muy bueno / Oso ona;3;3;Muy bueno / Oso ona;;12,54;Muy bueno / Oso ona;6,21;Muy bueno / Oso ona;6;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;05:00;2;31;28;Muy bueno / Oso ona;6;6;Muy bueno / Oso ona;;12,33;Muy bueno / Oso ona;6,17;Muy bueno / Oso ona;7;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;04:00;3;31;28;Muy bueno / Oso ona;4;4;Muy bueno / Oso ona;;12,04;Muy bueno / Oso ona;6,08;Muy bueno / Oso ona;7;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;03:00;1;28;27;Muy bueno / Oso ona;;;Sin datos / Daturik gabe;;11,75;Muy bueno / Oso ona;6,04;Muy bueno / Oso ona;6;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;02:00;1;27;26;Muy bueno / Oso ona;10;10;Muy bueno / Oso ona;;11,5;Muy bueno / Oso ona;5,92;Muy bueno / Oso ona;7;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;01:00;1;30;29;Muy bueno / Oso ona;8;8;Muy bueno / Oso ona;;11,08;Muy bueno / Oso ona;5,75;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
02/11/2025;24:00;1;29;28;Muy bueno / Oso ona;12;12;Muy bueno / Oso ona;;10,79;Muy bueno / Oso ona;5,63;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
02/11/2025;23:00;1;29;28;Muy bueno / Oso ona;17;17;Muy bueno / Oso ona;;10,13;Muy bueno / Oso ona;5,21;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
02/11/2025;22:00;3;41;37;Muy bueno / Oso ona;13;13;Muy bueno / Oso ona;;9,79;Muy bueno / Oso ona;5,08;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
02/11/2025;21:00;1;30;29;Muy bueno / Oso ona;32;32;Muy bueno / Oso ona;;9,5;Muy bueno / Oso ona;4,96;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
02/11/2025;20:00;1;31;30;Muy bueno / Oso ona;36;36;Muy bueno / Oso ona;;9,13;Muy bueno / Oso ona;4,79;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
02/11/2025;19:00;0;19;19;Muy bueno / Oso ona;57;57;Muy bueno / Oso ona;;8,88;Muy bueno / Oso ona;4,71;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
02/11/2025;18:00;0;12;12;Muy bueno / Oso ona;69;69;Muy bueno / Oso ona;;8,67;Muy bueno / Oso ona;4,67;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
02/11/2025;17:00;0;9;9;Muy bueno / Oso ona;72;72;Muy bueno / Oso ona;;8,5;Muy bueno / Oso ona;4,63;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
02/11/2025;16:00;0;9;9;Muy bueno / Oso ona;67;67;Muy bueno / Oso ona;;8,33;Muy bueno / Oso ona;4,63;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
02/11/2025;15:00;1;8;7;Muy bueno / Oso ona;59;59;Muy bueno / Oso ona;;8,21;Muy bueno / Oso ona;4,63;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
02/11/2025;14:00;1;6;6;Muy bueno / Oso ona;58;58;Muy bueno / Oso ona;;8,17;Muy bueno / Oso ona;4,58;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
02/11/2025;13:00;1;10;9;Muy bueno / Oso ona;50;50;Muy bueno / Oso ona;;8,08;Muy bueno / Oso ona;4,5;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
02/11/2025;12:00;2;13;10;Muy bueno / Oso ona;42;42;Muy bueno / Oso ona;;7,92;Muy bueno / Oso ona;4,42;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
02/11/2025;11:00;6;25;16;Muy bueno / Oso ona;29;29;Muy bueno / Oso ona;;7,75;Muy bueno / Oso ona;4,33;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
02/11/2025;10:00;8;30;19;Muy bueno / Oso ona;16;16;Muy bueno / Oso ona;;7,46;Muy bueno / Oso ona;4,21;Muy bueno / Oso ona;6;Muy bueno / Oso ona;Muy bueno / Oso ona
02/11/2025;09:00;6;27;18;Muy bueno / Oso ona;11;11;Muy bueno / Oso ona;;7,17;Muy bueno / Oso ona;4,08;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
02/11/2025;08:00;3;23;19;Muy bueno / Oso ona;10;10;Muy bueno / Oso ona;;6,92;Muy bueno / Oso ona;3,92;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
02/11/2025;07:00;1;16;15;Muy bueno / Oso ona;15;15;Muy bueno / Oso ona;;6,58;Muy bueno / Oso ona;3,75;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
02/11/2025;06:00;0;14;14;Muy bueno / Oso ona;18;18;Muy bueno / Oso ona;;6,21;Muy bueno / Oso ona;3,54;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
02/11/2025;05:00;0;12;12;Muy bueno / Oso ona;23;23;Muy bueno / Oso ona;;5,83;Muy bueno / Oso ona;3,33;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
02/11/2025;04:00;0;12;12;Muy bueno / Oso ona;23;23;Muy bueno / Oso ona;;5,42;Muy bueno / Oso ona;3,13;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
02/11/2025;03:00;0;10;10;Muy bueno / Oso ona;;;Sin datos / Daturik gabe;;5;Muy bueno / Oso ona;2,88;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
02/11/2025;02:00;0;12;12;Muy bueno / Oso ona;33;33;Muy bueno / Oso ona;;4,67;Muy bueno / Oso ona;2,71;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
02/11/2025;01:00;0;11;11;Muy bueno / Oso ona;35;35;Muy bueno / Oso ona;;4,38;Muy bueno / Oso ona;2,54;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2025;24:00;0;12;12;Muy bueno / Oso ona;40;40;Muy bueno / Oso ona;;4,13;Muy bueno / Oso ona;2,38;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2025;23:00;0;11;11;Muy bueno / Oso ona;47;47;Muy bueno / Oso ona;;3,88;Muy bueno / Oso ona;2,25;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2025;22:00;0;12;12;Muy bueno / Oso ona;51;51;Muy bueno / Oso ona;;3,67;Muy bueno / Oso ona;2,08;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2025;21:00;0;11;11;Muy bueno / Oso ona;55;55;Muy bueno / Oso ona;;3,46;Muy bueno / Oso ona;1,92;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2025;20:00;0;15;15;Muy bueno / Oso ona;50;50;Muy bueno / Oso ona;;3,38;Muy bueno / Oso ona;1,79;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2025;19:00;0;20;20;Muy bueno / Oso ona;45;45;Muy bueno / Oso ona;;3,38;Muy bueno / Oso ona;1,71;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2025;18:00;0;23;22;Muy bueno / Oso ona;46;46;Muy bueno / Oso ona;;3,33;Muy bueno / Oso ona;1,63;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2025;17:00;0;16;16;Muy bueno / Oso ona;60;60;Muy bueno / Oso ona;;3,25;Muy bueno / Oso ona;1,54;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2025;16:00;0;13;13;Muy bueno / Oso ona;65;65;Muy bueno / Oso ona;;3,25;Muy bueno / Oso ona;1,5;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2025;15:00;0;10;10;Muy bueno / Oso ona;70;70;Muy bueno / Oso ona;;3,25;Muy bueno / Oso ona;1,46;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2025;14:00;0;8;8;Muy bueno / Oso ona;73;73;Muy bueno / Oso ona;;3,29;Muy bueno / Oso ona;1,46;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2025;13:00;0;9;9;Muy bueno / Oso ona;74;74;Muy bueno / Oso ona;;3,42;Muy bueno / Oso ona;1,5;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2025;12:00;0;8;8;Muy bueno / Oso ona;65;65;Muy bueno / Oso ona;;3,54;Muy bueno / Oso ona;1,54;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2025;11:00;0;8;8;Muy bueno / Oso ona;68;68;Muy bueno / Oso ona;;3,71;Muy bueno / Oso ona;1,58;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2025;10:00;0;9;9;Muy bueno / Oso ona;69;69;Muy bueno / Oso ona;;3,79;Muy bueno / Oso ona;1,58;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2025;09:00;0;8;8;Muy bueno / Oso ona;71;71;Muy bueno / Oso ona;;3,79;Muy bueno / Oso ona;1,5;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2025;08:00;0;10;10;Muy bueno / Oso ona;52;52;Muy bueno / Oso ona;;3,71;Muy bueno / Oso ona;1,42;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2025;07:00;0;10;9;Muy bueno / Oso ona;47;47;Muy bueno / Oso ona;;3,92;Muy bueno / Oso ona;1,42;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2025;06:00;0;11;11;Muy bueno / Oso ona;53;53;Muy bueno / Oso ona;;4,08;Muy bueno / Oso ona;1,42;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2025;05:00;0;4;4;Muy bueno / Oso ona;68;68;Muy bueno / Oso ona;;4,17;Muy bueno / Oso ona;1,46;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2025;04:00;0;3;3;Muy bueno / Oso ona;73;73;Muy bueno / Oso ona;;4,29;Muy bueno / Oso ona;1,54;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2025;03:00;0;2;2;Muy bueno / Oso ona;;;Sin datos / Daturik gabe;;4,42;Muy bueno / Oso ona;1,63;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2025;02:00;0;3;3;Muy bueno / Oso ona;76;76;Muy bueno / Oso ona;;4,5;Muy bueno / Oso ona;1,67;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2025;01:00;0;4;4;Muy bueno / Oso ona;76;76;Muy bueno / Oso ona;;4,54;Muy bueno / Oso ona;1,71;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2025;24:00;0;3;3;Muy bueno / Oso ona;79;79;Muy bueno / Oso ona;;4,63;Muy bueno / Oso ona;1,75;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2025;23:00;0;4;4;Muy bueno / Oso ona;78;78;Muy bueno / Oso ona;;4,71;Muy bueno / Oso ona;1,79;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2025;22:00;0;5;5;Muy bueno / Oso ona;77;77;Muy bueno / Oso ona;;4,75;Muy bueno / Oso ona;1,83;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2025;21:00;0;5;5;Muy bueno / Oso ona;76;76;Muy bueno / Oso ona;;4,88;Muy bueno / Oso ona;1,88;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2025;20:00;0;9;9;Muy bueno / Oso ona;71;71;Muy bueno / Oso ona;;5;Muy bueno / Oso ona;1,92;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2025;19:00;0;8;8;Muy bueno / Oso ona;72;72;Muy bueno / Oso ona;;4,96;Muy bueno / Oso ona;1,92;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2025;18:00;0;7;7;Muy bueno / Oso ona;76;76;Muy bueno / Oso ona;;5,04;Muy bueno / Oso ona;1,92;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2025;17:00;0;9;9;Muy bueno / Oso ona;73;73;Muy bueno / Oso ona;;5,13;Muy bueno / Oso ona;2;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2025;16:00;0;9;9;Muy bueno / Oso ona;73;73;Muy bueno / Oso ona;;5,21;Muy bueno / Oso ona;2,04;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2025;15:00;0;13;13;Muy bueno / Oso ona;66;66;Muy bueno / Oso ona;;5,21;Muy bueno / Oso ona;2,04;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2025;14:00;1;9;8;Muy bueno / Oso ona;75;75;Muy bueno / Oso ona;;5,21;Muy bueno / Oso ona;2,04;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2025;13:00;1;9;8;Muy bueno / Oso ona;75;75;Muy bueno / Oso ona;;5,13;Muy bueno / Oso ona;2,04;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2025;12:00;1;11;10;Muy bueno / Oso ona;73;73;Muy bueno / Oso ona;;5,04;Muy bueno / Oso ona;2,04;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2025;11:00;0;7;7;Muy bueno / Oso ona;78;78;Muy bueno / Oso ona;;4,96;Muy bueno / Oso ona;2,04;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2025;10:00;0;4;4;Muy bueno / Oso ona;83;83;Bueno / Ona;;5,09;Muy bueno / Oso ona;2,13;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Bueno / Ona
31/10/2025;09:00;0;3;3;Muy bueno / Oso ona;86;86;Bueno / Ona;;5,22;Muy bueno / Oso ona;2,26;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Bueno / Ona
31/10/2025;08:00;0;2;2;Muy bueno / Oso ona;86;86;Bueno / Ona;;5,87;Muy bueno / Oso ona;2,7;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Bueno / Ona
31/10/2025;07:00;0;3;3;Muy bueno / Oso ona;84;84;Bueno / Ona;;6,39;Muy bueno / Oso ona;3,22;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Bueno / Ona
31/10/2025;06:00;0;10;10;Muy bueno / Oso ona;71;71;Muy bueno / Oso ona;;6,61;Muy bueno / Oso ona;3,48;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2025;05:00;0;9;9;Muy bueno / Oso ona;73;73;Muy bueno / Oso ona;;6,91;Muy bueno / Oso ona;3,65;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2025;04:00;0;6;6;Muy bueno / Oso ona;76;76;Muy bueno / Oso ona;;7,3;Muy bueno / Oso ona;3,83;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2025;03:00;0;7;7;Muy bueno / Oso ona;;;Sin datos / Daturik gabe;;7,52;Muy bueno / Oso ona;3,91;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2025;02:00;0;5;5;Muy bueno / Oso ona;76;76;Muy bueno / Oso ona;;7,78;Muy bueno / Oso ona;4,04;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2025;01:00;0;5;5;Muy bueno / Oso ona;75;75;Muy bueno / Oso ona;;8,04;Muy bueno / Oso ona;4,17;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2025;24:00;0;4;4;Muy bueno / Oso ona;78;78;Muy bueno / Oso ona;;8,04;Muy bueno / Oso ona;4,17;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2025;23:00;0;2;2;Muy bueno / Oso ona;82;82;Bueno / Ona;;8,42;Muy bueno / Oso ona;4,33;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Bueno / Ona
30/10/2025;22:00;0;2;2;Muy bueno / Oso ona;76;76;Muy bueno / Oso ona;;8,75;Muy bueno / Oso ona;4,5;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2025;21:00;0;3;3;Muy bueno / Oso ona;74;74;Muy bueno / Oso ona;;9;Muy bueno / Oso ona;4,67;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2025;20:00;0;9;9;Muy bueno / Oso ona;69;69;Muy bueno / Oso ona;;9,13;Muy bueno / Oso ona;4,79;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2025;19:00;0;5;5;Muy bueno / Oso ona;75;75;Muy bueno / Oso ona;;9,17;Muy bueno / Oso ona;4,83;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2025;18:00;0;8;8;Muy bueno / Oso ona;71;71;Muy bueno / Oso ona;;9,04;Muy bueno / Oso ona;4,83;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2025;17:00;0;9;9;Muy bueno / Oso ona;69;69;Muy bueno / Oso ona;;9,25;Muy bueno / Oso ona;4,92;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2025;16:00;1;8;8;Muy bueno / Oso ona;72;72;Muy bueno / Oso ona;;9,58;Muy bueno / Oso ona;5;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2025;15:00;1;7;6;Muy bueno / Oso ona;75;75;Muy bueno / Oso ona;;9,92;Muy bueno / Oso ona;5,13;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2025;14:00;1;6;5;Muy bueno / Oso ona;77;77;Muy bueno / Oso ona;;10,33;Muy bueno / Oso ona;5,29;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2025;13:00;0;4;4;Muy bueno / Oso ona;76;76;Muy bueno / Oso ona;;10,63;Muy bueno / Oso ona;5,46;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2025;12:00;1;7;6;Muy bueno / Oso ona;68;68;Muy bueno / Oso ona;;10,71;Muy bueno / Oso ona;5,46;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2025;11:00;1;11;10;Muy bueno / Oso ona;58;58;Muy bueno / Oso ona;;10,75;Muy bueno / Oso ona;5,46;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2025;10:00;2;14;11;Muy bueno / Oso ona;53;53;Muy bueno / Oso ona;;10,71;Muy bueno / Oso ona;5,46;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2025;09:00;22;65;32;Muy bueno / Oso ona;14;14;Muy bueno / Oso ona;;10,71;Muy bueno / Oso ona;5,42;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2025;08:00;32;81;33;Muy bueno / Oso ona;4;4;Muy bueno / Oso ona;;10,29;Muy bueno / Oso ona;5,13;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2025;07:00;19;59;30;Muy bueno / Oso ona;2;2;Muy bueno / Oso ona;;9,92;Muy bueno / Oso ona;4,75;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2025;06:00;5;30;22;Muy bueno / Oso ona;8;8;Muy bueno / Oso ona;;9,79;Muy bueno / Oso ona;4,63;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2025;05:00;1;19;17;Muy bueno / Oso ona;11;11;Muy bueno / Oso ona;;9,71;Muy bueno / Oso ona;4,54;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2025;04:00;0;10;10;Muy bueno / Oso ona;22;22;Muy bueno / Oso ona;;9,58;Muy bueno / Oso ona;4,46;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
