Date;Hour  (GMT);O3 (µg/m3);OZONO;O3 - ICA;O3 8h (µg/m3);D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
03/11/2025;05:00;19;19;Muy bueno / Oso ona;25;355;87;959,9;0;0;7,3;0,16;Muy bueno / Oso ona
03/11/2025;04:00;25;25;Muy bueno / Oso ona;26;344;86;960;0;0;7,8;0,24;Muy bueno / Oso ona
03/11/2025;03:00;27;27;Muy bueno / Oso ona;31;56;85;960,2;0;0;8,4;0,27;Muy bueno / Oso ona
03/11/2025;02:00;;;Sin datos / Daturik gabe;32;348;84;960,4;0;0;8,8;0,24;Sin datos / Daturik gabe
03/11/2025;01:00;28;28;Muy bueno / Oso ona;35;330;84;960,4;0;0;8,9;0,28;Muy bueno / Oso ona
02/11/2025;24:00;27;27;Muy bueno / Oso ona;37;279;82;960,3;0;0;9,7;0,15;Muy bueno / Oso ona
02/11/2025;23:00;25;25;Muy bueno / Oso ona;40;250;79;960,4;0;0;10,4;0,21;Muy bueno / Oso ona
02/11/2025;22:00;33;33;Muy bueno / Oso ona;45;330;74;960,1;0;0;11,5;0,19;Muy bueno / Oso ona
02/11/2025;21:00;43;43;Muy bueno / Oso ona;49;235;68;959,8;0;0;12,7;0,18;Muy bueno / Oso ona
02/11/2025;20:00;37;37;Muy bueno / Oso ona;53;345;65;959,5;0;0;13,4;0,48;Muy bueno / Oso ona
02/11/2025;19:00;44;44;Muy bueno / Oso ona;53;321;63;958,8;0;0;13,9;0,18;Muy bueno / Oso ona
02/11/2025;18:00;52;52;Muy bueno / Oso ona;55;358;60;958,4;0;21,8;14,1;0,86;Muy bueno / Oso ona
02/11/2025;17:00;56;56;Muy bueno / Oso ona;54;353;58;957,9;0;123,7;14,8;0,94;Muy bueno / Oso ona
02/11/2025;16:00;60;60;Muy bueno / Oso ona;50;279;57;957,6;0;68,8;14,6;0,92;Muy bueno / Oso ona
02/11/2025;15:00;60;60;Muy bueno / Oso ona;46;229;55;957,2;0;151,9;15,2;1,59;Muy bueno / Oso ona
02/11/2025;14:00;60;60;Muy bueno / Oso ona;40;219;56;957;0;366,1;15,6;1,46;Muy bueno / Oso ona
02/11/2025;13:00;51;51;Muy bueno / Oso ona;36;198;63;957,4;0;394,9;14,7;1,12;Muy bueno / Oso ona
02/11/2025;12:00;45;45;Muy bueno / Oso ona;32;294;66;957,5;0;316,7;14,1;0,43;Muy bueno / Oso ona
02/11/2025;11:00;39;39;Muy bueno / Oso ona;29;154;71;957,3;0;237,3;12,3;0,31;Muy bueno / Oso ona
02/11/2025;10:00;24;24;Muy bueno / Oso ona;27;347;82;957,4;0;104,4;10,4;0,17;Muy bueno / Oso ona
02/11/2025;09:00;22;22;Muy bueno / Oso ona;26;269;90;956,4;0;32;8,7;0,22;Muy bueno / Oso ona
02/11/2025;08:00;17;17;Muy bueno / Oso ona;26;199;90;955,9;0;0,6;8,7;0,09;Muy bueno / Oso ona
02/11/2025;07:00;22;22;Muy bueno / Oso ona;31;319;90;955,5;0;0;8,9;0,26;Muy bueno / Oso ona
02/11/2025;06:00;29;29;Muy bueno / Oso ona;36;2;87;955;0;0;10;0,13;Muy bueno / Oso ona
02/11/2025;05:00;30;30;Muy bueno / Oso ona;40;233;87;954,5;0;0;10,4;0,14;Muy bueno / Oso ona
02/11/2025;04:00;31;31;Muy bueno / Oso ona;44;228;89;954,2;0;0;10,7;0,08;Muy bueno / Oso ona
02/11/2025;03:00;32;32;Muy bueno / Oso ona;48;278;89;954,1;0;0;11;0,27;Muy bueno / Oso ona
02/11/2025;02:00;;;Sin datos / Daturik gabe;52;259;88;953,9;0;0;11,2;0,13;Sin datos / Daturik gabe
02/11/2025;01:00;55;55;Muy bueno / Oso ona;56;134;85;954;0;0;11,1;0,68;Muy bueno / Oso ona
01/11/2025;24:00;54;54;Muy bueno / Oso ona;57;136;91;954,3;0,1;0;10,7;0,91;Muy bueno / Oso ona
01/11/2025;23:00;52;52;Muy bueno / Oso ona;56;21;92;954,4;0,7;0;10,7;0,3;Muy bueno / Oso ona
01/11/2025;22:00;55;55;Muy bueno / Oso ona;55;7;91;953,9;1,1;0;10,7;0,71;Muy bueno / Oso ona
01/11/2025;21:00;59;59;Muy bueno / Oso ona;56;6;88;953,4;0,1;0;11;0,98;Muy bueno / Oso ona
01/11/2025;20:00;52;52;Muy bueno / Oso ona;57;7;84;952,7;0;0;12,6;1,01;Muy bueno / Oso ona
01/11/2025;19:00;63;63;Muy bueno / Oso ona;57;241;70;951,9;0;0;16,4;1,06;Muy bueno / Oso ona
01/11/2025;18:00;57;57;Muy bueno / Oso ona;57;208;71;951,4;0;7,1;16,6;1,36;Muy bueno / Oso ona
01/11/2025;17:00;48;48;Muy bueno / Oso ona;56;243;74;951,2;0;24,3;17,1;0,52;Muy bueno / Oso ona
01/11/2025;16:00;55;55;Muy bueno / Oso ona;55;321;72;950,7;0;64,8;17,6;0,4;Muy bueno / Oso ona
01/11/2025;15:00;59;59;Muy bueno / Oso ona;55;117;68;950,5;0;98,4;17,8;0,55;Muy bueno / Oso ona
01/11/2025;14:00;57;57;Muy bueno / Oso ona;54;176;70;951,1;0;110,8;17,2;0,84;Muy bueno / Oso ona
01/11/2025;13:00;60;60;Muy bueno / Oso ona;50;202;71;951,5;0;109,9;16,6;1,05;Muy bueno / Oso ona
01/11/2025;12:00;54;54;Muy bueno / Oso ona;47;231;73;951,4;0;85,7;16,6;0,29;Muy bueno / Oso ona
01/11/2025;11:00;48;48;Muy bueno / Oso ona;44;107;75;950,9;0;98,6;16,5;0,31;Muy bueno / Oso ona
01/11/2025;10:00;52;52;Muy bueno / Oso ona;43;214;79;950,5;0;42,8;15,3;0,83;Muy bueno / Oso ona
01/11/2025;09:00;50;50;Muy bueno / Oso ona;43;262;85;949;0;12,6;14,4;0,43;Muy bueno / Oso ona
01/11/2025;08:00;42;42;Muy bueno / Oso ona;41;174;92;948,8;1;0,1;13,7;1,27;Muy bueno / Oso ona
01/11/2025;07:00;31;31;Muy bueno / Oso ona;42;292;92;947,9;0,5;0;13,7;0,57;Muy bueno / Oso ona
01/11/2025;06:00;32;32;Muy bueno / Oso ona;45;57;90;947,3;0,2;0;14,2;0,21;Muy bueno / Oso ona
01/11/2025;05:00;38;38;Muy bueno / Oso ona;51;29;86;947,2;0,6;0;14,5;0,34;Muy bueno / Oso ona
01/11/2025;04:00;49;49;Muy bueno / Oso ona;54;199;75;947,5;0,5;0;15,6;0,61;Muy bueno / Oso ona
01/11/2025;03:00;53;53;Muy bueno / Oso ona;57;179;63;947,3;0;0;17;1,28;Muy bueno / Oso ona
01/11/2025;02:00;;;Sin datos / Daturik gabe;60;172;61;947,4;0;0;17,2;1,37;Sin datos / Daturik gabe
01/11/2025;01:00;59;59;Muy bueno / Oso ona;61;202;59;947,5;0;0;17,6;1,02;Muy bueno / Oso ona
31/10/2025;24:00;65;65;Muy bueno / Oso ona;62;190;60;947,5;0;0;17,6;3,09;Muy bueno / Oso ona
31/10/2025;23:00;66;66;Muy bueno / Oso ona;63;186;56;947,7;0;0;18,2;3,22;Muy bueno / Oso ona
31/10/2025;22:00;58;58;Muy bueno / Oso ona;63;185;57;947,4;0;0;18;0,98;Muy bueno / Oso ona
31/10/2025;21:00;59;59;Muy bueno / Oso ona;63;177;57;947,2;0;0;17,8;1,95;Muy bueno / Oso ona
31/10/2025;20:00;63;63;Muy bueno / Oso ona;65;192;55;947,7;0;0;18,1;2,08;Muy bueno / Oso ona
31/10/2025;19:00;63;63;Muy bueno / Oso ona;67;201;53;947,4;0;0;18,6;2,22;Muy bueno / Oso ona
31/10/2025;18:00;65;65;Muy bueno / Oso ona;68;190;49;947,1;0;21,7;19,5;2,7;Muy bueno / Oso ona
31/10/2025;17:00;64;64;Muy bueno / Oso ona;68;185;48;947;0;39,2;19,9;2,97;Muy bueno / Oso ona
31/10/2025;16:00;67;67;Muy bueno / Oso ona;68;188;45;946,7;0;137,1;20,7;3,03;Muy bueno / Oso ona
31/10/2025;15:00;69;69;Muy bueno / Oso ona;68;184;44;946,3;0;495,5;21,7;2,51;Muy bueno / Oso ona
31/10/2025;14:00;71;71;Muy bueno / Oso ona;68;189;45;946,9;0;362,8;20,1;2,95;Muy bueno / Oso ona
31/10/2025;13:00;72;72;Muy bueno / Oso ona;69;190;48;947,5;0;232,4;18,8;3,56;Muy bueno / Oso ona
31/10/2025;12:00;69;69;Muy bueno / Oso ona;69;191;51;948;0;170,6;18;2,81;Muy bueno / Oso ona
31/10/2025;11:00;67;67;Muy bueno / Oso ona;68;206;54;948,5;0;138,1;16,8;2,72;Muy bueno / Oso ona
31/10/2025;10:00;65;65;Muy bueno / Oso ona;68;206;55;948,5;0;76,5;15,8;2,61;Muy bueno / Oso ona
31/10/2025;09:00;64;64;Muy bueno / Oso ona;69;199;58;948,3;0;15;14,7;2,55;Muy bueno / Oso ona
31/10/2025;08:00;67;67;Muy bueno / Oso ona;69;212;61;947,7;0;0,2;14,3;2,4;Muy bueno / Oso ona
31/10/2025;07:00;71;71;Muy bueno / Oso ona;68;207;59;947,5;0;0;14,8;2,17;Muy bueno / Oso ona
31/10/2025;06:00;73;73;Muy bueno / Oso ona;67;179;56;947,3;0;0;15,1;0,78;Muy bueno / Oso ona
31/10/2025;05:00;69;69;Muy bueno / Oso ona;65;175;57;947,4;0;0;14,9;1,12;Muy bueno / Oso ona
31/10/2025;04:00;69;69;Muy bueno / Oso ona;63;167;58;947,8;0;0;15;1,04;Muy bueno / Oso ona
31/10/2025;03:00;68;68;Muy bueno / Oso ona;61;199;58;947,8;0;0;14,7;2,79;Muy bueno / Oso ona
31/10/2025;02:00;;;Sin datos / Daturik gabe;60;197;60;947,7;0;0;14,5;2,73;Sin datos / Daturik gabe
31/10/2025;01:00;61;61;Muy bueno / Oso ona;59;192;62;947,9;0;0;14,4;1,81;Muy bueno / Oso ona
30/10/2025;24:00;58;58;Muy bueno / Oso ona;60;194;63;948,3;0;0;14,7;1,5;Muy bueno / Oso ona
30/10/2025;23:00;60;60;Muy bueno / Oso ona;61;202;63;948,3;0;0;15,2;2,65;Muy bueno / Oso ona
30/10/2025;22:00;56;56;Muy bueno / Oso ona;62;201;66;947,9;0;0;15,9;2,58;Muy bueno / Oso ona
30/10/2025;21:00;56;56;Muy bueno / Oso ona;63;158;64;947,5;0;0;16,2;0,38;Muy bueno / Oso ona
30/10/2025;20:00;61;61;Muy bueno / Oso ona;62;193;61;947,3;0;0;16,5;1,54;Muy bueno / Oso ona
30/10/2025;19:00;63;63;Muy bueno / Oso ona;62;204;60;946,8;0;0;16,6;2,17;Muy bueno / Oso ona
30/10/2025;18:00;66;66;Muy bueno / Oso ona;61;205;57;946,3;0;35,5;17,3;2,43;Muy bueno / Oso ona
30/10/2025;17:00;67;67;Muy bueno / Oso ona;57;225;58;946,2;0;119,7;17,9;2,66;Muy bueno / Oso ona
30/10/2025;16:00;70;70;Muy bueno / Oso ona;50;219;56;945,7;0;375,2;18,7;2,86;Muy bueno / Oso ona
30/10/2025;15:00;64;64;Muy bueno / Oso ona;43;210;62;946,1;0;294,9;17,3;3,61;Muy bueno / Oso ona
30/10/2025;14:00;53;53;Muy bueno / Oso ona;35;215;66;946,5;0;274,5;17,2;2,3;Muy bueno / Oso ona
30/10/2025;13:00;51;51;Muy bueno / Oso ona;30;207;68;946,7;0;391,4;17;2,21;Muy bueno / Oso ona
30/10/2025;12:00;51;51;Muy bueno / Oso ona;28;201;70;947,2;0;377,1;15,8;1,9;Muy bueno / Oso ona
30/10/2025;11:00;28;28;Muy bueno / Oso ona;26;266;77;947,3;0;294,2;14,3;0,35;Muy bueno / Oso ona
30/10/2025;10:00;11;11;Muy bueno / Oso ona;26;346;77;947,5;0;160,5;13,4;0,29;Muy bueno / Oso ona
30/10/2025;09:00;11;11;Muy bueno / Oso ona;27;360;80;946,9;0;63;11,7;0,19;Muy bueno / Oso ona
30/10/2025;08:00;6;6;Muy bueno / Oso ona;29;348;88;947;0;2,7;9,3;0,19;Muy bueno / Oso ona
30/10/2025;07:00;28;28;Muy bueno / Oso ona;36;107;89;947;0;0;10;0,47;Muy bueno / Oso ona
30/10/2025;06:00;32;32;Muy bueno / Oso ona;44;77;88;946,9;0;0;11,1;0,21;Muy bueno / Oso ona
30/10/2025;05:00;37;37;Muy bueno / Oso ona;48;246;87;947;0;0;11,5;0,17;Muy bueno / Oso ona
30/10/2025;04:00;45;45;Muy bueno / Oso ona;53;85;85;947,2;0;0;12,3;0,34;Muy bueno / Oso ona
30/10/2025;03:00;45;45;Muy bueno / Oso ona;53;113;85;947,6;0;0;12,5;0,44;Muy bueno / Oso ona
30/10/2025;02:00;;;Sin datos / Daturik gabe;53;73;85;947,7;0;0;12,7;0,35;Sin datos / Daturik gabe
30/10/2025;01:00;56;56;Muy bueno / Oso ona;54;52;84;947,5;0;0;12,8;0,48;Muy bueno / Oso ona
29/10/2025;24:00;59;59;Muy bueno / Oso ona;54;28;84;947,3;0;0;13;0,55;Muy bueno / Oso ona
29/10/2025;23:00;60;60;Muy bueno / Oso ona;54;19;83;946,6;0;0;13,2;0,63;Muy bueno / Oso ona
29/10/2025;22:00;62;62;Muy bueno / Oso ona;55;355;82;946;0;0;13,5;1,03;Muy bueno / Oso ona
29/10/2025;21:00;43;43;Muy bueno / Oso ona;56;41;87;945,3;0,1;0;13,9;0,49;Muy bueno / Oso ona
29/10/2025;20:00;42;42;Muy bueno / Oso ona;55;355;89;944,6;3,2;0;13,9;0,76;Muy bueno / Oso ona
29/10/2025;19:00;53;53;Muy bueno / Oso ona;57;303;66;942,7;0;0;16,9;0,18;Muy bueno / Oso ona
29/10/2025;18:00;58;58;Muy bueno / Oso ona;58;194;59;941,6;0;19,1;18,1;1,69;Muy bueno / Oso ona
29/10/2025;17:00;59;59;Muy bueno / Oso ona;58;187;58;941,3;0;120,6;18,5;2,24;Muy bueno / Oso ona
29/10/2025;16:00;62;62;Muy bueno / Oso ona;56;192;57;941;0;157,7;18,7;2,42;Muy bueno / Oso ona
29/10/2025;15:00;64;64;Muy bueno / Oso ona;50;198;57;940,6;0;295,1;18,4;4,02;Muy bueno / Oso ona
29/10/2025;14:00;62;62;Muy bueno / Oso ona;48;193;60;941;0;341,7;18;4,02;Muy bueno / Oso ona
29/10/2025;13:00;57;57;Muy bueno / Oso ona;45;191;62;941;0;471,9;17,5;4,13;Muy bueno / Oso ona
29/10/2025;12:00;52;52;Muy bueno / Oso ona;43;183;68;941,6;0;337,2;15,9;3,06;Muy bueno / Oso ona
29/10/2025;11:00;47;47;Muy bueno / Oso ona;40;178;71;942,2;0;217;14,9;2,04;Muy bueno / Oso ona
29/10/2025;10:00;30;30;Muy bueno / Oso ona;37;217;74;942,3;0;85,3;13,7;0,57;Muy bueno / Oso ona
29/10/2025;09:00;20;20;Muy bueno / Oso ona;34;351;61;942;0;11,4;12,4;0,39;Muy bueno / Oso ona
29/10/2025;08:00;39;39;Muy bueno / Oso ona;33;358;71;942,4;0;0;11,9;0,77;Muy bueno / Oso ona
29/10/2025;07:00;45;45;Muy bueno / Oso ona;32;329;67;942,6;0;0;12,2;0,35;Muy bueno / Oso ona
29/10/2025;06:00;44;44;Muy bueno / Oso ona;27;6;63;943;0;0;12,2;0,57;Muy bueno / Oso ona
29/10/2025;05:00;35;35;Muy bueno / Oso ona;21;356;65;943,7;0;0;11,8;0,41;Muy bueno / Oso ona
29/10/2025;04:00;24;24;Muy bueno / Oso ona;16;341;67;944,4;0;0;11,3;0,43;Muy bueno / Oso ona
29/10/2025;03:00;15;15;Muy bueno / Oso ona;12;278;72;944,9;0;0;10,3;0,32;Muy bueno / Oso ona
29/10/2025;02:00;;;Sin datos / Daturik gabe;15;308;70;945,6;0;0;10,9;0,25;Sin datos / Daturik gabe
29/10/2025;01:00;14;14;Muy bueno / Oso ona;19;294;67;946,4;0;0;11,5;0,18;Muy bueno / Oso ona
28/10/2025;24:00;5;5;Muy bueno / Oso ona;25;312;66;947,2;0;0;11,6;0,23;Muy bueno / Oso ona
28/10/2025;23:00;4;4;Muy bueno / Oso ona;32;307;63;947,8;0;0;12,3;0,27;Muy bueno / Oso ona
28/10/2025;22:00;4;4;Muy bueno / Oso ona;36;320;60;948,4;0;0;13,4;0,28;Muy bueno / Oso ona
28/10/2025;21:00;15;15;Muy bueno / Oso ona;39;15;52;948,7;0;0;15,2;0,26;Muy bueno / Oso ona
28/10/2025;20:00;44;44;Muy bueno / Oso ona;41;188;47;948,8;0;0;16,9;0,12;Muy bueno / Oso ona
28/10/2025;19:00;53;53;Muy bueno / Oso ona;45;157;41;948,9;0;30,1;19,6;0,87;Muy bueno / Oso ona
28/10/2025;18:00;65;65;Muy bueno / Oso ona;45;140;35;949,4;0;169,7;22,4;0,18;Muy bueno / Oso ona
28/10/2025;17:00;61;61;Muy bueno / Oso ona;;5;38;949,8;0;358,9;22,5;0,21;Muy bueno / Oso ona
28/10/2025;16:00;36;36;Muy bueno / Oso ona;;2;45;950,3;0;497,8;21,3;0,21;Muy bueno / Oso ona
28/10/2025;15:00;28;28;Muy bueno / Oso ona;;34;53;951;0;510,9;18,6;0,27;Muy bueno / Oso ona
28/10/2025;14:00;19;19;Muy bueno / Oso ona;;58;64;951,9;0;478,4;14,7;0,51;Muy bueno / Oso ona
28/10/2025;13:00;;;Sin datos / Daturik gabe;;;;;;;;;Sin datos / Daturik gabe
28/10/2025;12:00;;;Sin datos / Daturik gabe;;;;;;;;;Sin datos / Daturik gabe
28/10/2025;11:00;;;Sin datos / Daturik gabe;;;;;;;;;Sin datos / Daturik gabe
28/10/2025;10:00;;;Sin datos / Daturik gabe;;;;;;;;;Sin datos / Daturik gabe
28/10/2025;09:00;;;Sin datos / Daturik gabe;;;;;;;;;Sin datos / Daturik gabe
28/10/2025;08:00;;;Sin datos / Daturik gabe;;;;;;;;;Sin datos / Daturik gabe
28/10/2025;07:00;;;Sin datos / Daturik gabe;;;;;;;;;Sin datos / Daturik gabe
28/10/2025;06:00;;;Sin datos / Daturik gabe;;;;;;;;;Sin datos / Daturik gabe
28/10/2025;05:00;;;Sin datos / Daturik gabe;;;;;;;;;Sin datos / Daturik gabe
28/10/2025;04:00;;;Sin datos / Daturik gabe;;;;;;;;;Sin datos / Daturik gabe
28/10/2025;03:00;;;Sin datos / Daturik gabe;;;;;;;;;Sin datos / Daturik gabe
28/10/2025;02:00;;;Sin datos / Daturik gabe;;;;;;;;;Sin datos / Daturik gabe
28/10/2025;01:00;;;Sin datos / Daturik gabe;;;;;;;;;Sin datos / Daturik gabe
27/10/2025;24:00;;;;;;;;;;;;Sin datos / Daturik gabe
27/10/2025;23:00;;;;;;;;;;;;Sin datos / Daturik gabe
27/10/2025;22:00;;;;;;;;;;;;Sin datos / Daturik gabe
27/10/2025;21:00;;;;;;;;;;;;Sin datos / Daturik gabe
27/10/2025;20:00;;;;;;;;;;;;Sin datos / Daturik gabe
27/10/2025;19:00;;;;;;;;;;;;Sin datos / Daturik gabe
27/10/2025;18:00;;;;;;;;;;;;Sin datos / Daturik gabe
27/10/2025;17:00;;;;;;;;;;;;Sin datos / Daturik gabe
27/10/2025;16:00;;;;;;;;;;;;Sin datos / Daturik gabe
27/10/2025;15:00;;;;;;;;;;;;Sin datos / Daturik gabe
27/10/2025;14:00;;;;;;;;;;;;Sin datos / Daturik gabe
27/10/2025;13:00;;;;;;;;;;;;Sin datos / Daturik gabe
27/10/2025;12:00;;;;;;;;;;;;Sin datos / Daturik gabe
27/10/2025;11:00;;;;;;;;;;;;Sin datos / Daturik gabe
27/10/2025;10:00;;;;;;;;;;;;Sin datos / Daturik gabe
27/10/2025;09:00;;;;;;;;;;;;Sin datos / Daturik gabe
27/10/2025;08:00;;;;;;;;;;;;Sin datos / Daturik gabe
27/10/2025;07:00;;;;;;;;;;;;Sin datos / Daturik gabe
27/10/2025;06:00;;;;;;;;;;;;Sin datos / Daturik gabe
27/10/2025;05:00;;;;;;;;;;;;Sin datos / Daturik gabe
27/10/2025;04:00;;;;;;;;;;;;Sin datos / Daturik gabe
27/10/2025;03:00;;;;;;;;;;;;Sin datos / Daturik gabe
27/10/2025;02:00;;;;;;;;;;;;Sin datos / Daturik gabe
27/10/2025;01:00;;;;;;;;;;;;Sin datos / Daturik gabe
26/10/2025;24:00;;;;;;;;;;;;Sin datos / Daturik gabe
26/10/2025;23:00;;;;;;;;;;;;Sin datos / Daturik gabe
26/10/2025;22:00;;;;;;;;;;;;Sin datos / Daturik gabe
26/10/2025;21:00;;;;;;;;;;;;Sin datos / Daturik gabe
26/10/2025;20:00;;;;;;;;;;;;Sin datos / Daturik gabe
26/10/2025;19:00;;;;;;;;;;;;Sin datos / Daturik gabe
26/10/2025;18:00;;;;;;;;;;;;Sin datos / Daturik gabe
26/10/2025;17:00;;;;;;;;;;;;Sin datos / Daturik gabe
26/10/2025;16:00;;;;;;;;;;;;Sin datos / Daturik gabe
26/10/2025;15:00;;;;;;;;;;;;Sin datos / Daturik gabe
26/10/2025;14:00;;;;;;;;;;;;Sin datos / Daturik gabe
26/10/2025;13:00;;;;;;;;;;;;Sin datos / Daturik gabe
26/10/2025;12:00;;;;;;;;;;;;Sin datos / Daturik gabe
26/10/2025;11:00;;;;;;;;;;;;Sin datos / Daturik gabe
26/10/2025;10:00;;;;;;;;;;;;Sin datos / Daturik gabe
26/10/2025;09:00;;;;;;;;;;;;Sin datos / Daturik gabe
26/10/2025;08:00;;;;;;;;;;;;Sin datos / Daturik gabe
26/10/2025;07:00;;;;;;;;;;;;Sin datos / Daturik gabe
26/10/2025;06:00;;;;;;;;;;;;Sin datos / Daturik gabe
26/10/2025;05:00;;;;;;;;;;;;Sin datos / Daturik gabe
26/10/2025;04:00;;;;;;;;;;;;Sin datos / Daturik gabe
26/10/2025;03:00;;;;;;;;;;;;Sin datos / Daturik gabe
26/10/2025;02:00;;;;;;;;;;;;Sin datos / Daturik gabe
26/10/2025;01:00;;;;;;;;;;;;Sin datos / Daturik gabe
25/10/2025;24:00;;;;;;;;;;;;Sin datos / Daturik gabe
25/10/2025;23:00;;;;;;;;;;;;Sin datos / Daturik gabe
25/10/2025;22:00;;;;;;;;;;;;Sin datos / Daturik gabe
25/10/2025;21:00;;;;;;;;;;;;Sin datos / Daturik gabe
25/10/2025;20:00;;;;;;;;;;;;Sin datos / Daturik gabe
25/10/2025;19:00;;;;;;;;;;;;Sin datos / Daturik gabe
25/10/2025;18:00;;;;;;;;;;;;Sin datos / Daturik gabe
25/10/2025;17:00;;;;;;;;;;;;Sin datos / Daturik gabe
25/10/2025;16:00;;;;;;;;;;;;Sin datos / Daturik gabe
25/10/2025;15:00;;;;;;;;;;;;Sin datos / Daturik gabe
25/10/2025;14:00;;;;;;;;;;;;Sin datos / Daturik gabe
25/10/2025;13:00;;;;;;;;;;;;Sin datos / Daturik gabe
25/10/2025;12:00;;;;;;;;;;;;Sin datos / Daturik gabe
25/10/2025;11:00;;;;;;;;;;;;Sin datos / Daturik gabe
25/10/2025;10:00;;;;;;;;;;;;Sin datos / Daturik gabe
25/10/2025;09:00;;;;;;;;;;;;Sin datos / Daturik gabe
25/10/2025;08:00;;;;;;;;;;;;Sin datos / Daturik gabe
25/10/2025;07:00;;;;;;;;;;;;Sin datos / Daturik gabe
25/10/2025;06:00;;;;;;;;;;;;Sin datos / Daturik gabe
25/10/2025;05:00;;;;;;;;;;;;Sin datos / Daturik gabe
25/10/2025;04:00;;;;;;;;;;;;Sin datos / Daturik gabe
25/10/2025;03:00;;;;;;;;;;;;Sin datos / Daturik gabe
25/10/2025;02:00;;;;;;;;;;;;Sin datos / Daturik gabe
25/10/2025;01:00;;;;;;;;;;;;Sin datos / Daturik gabe
24/10/2025;24:00;;;Sin datos / Daturik gabe;;;;;;;;;Sin datos / Daturik gabe
24/10/2025;23:00;;;Sin datos / Daturik gabe;;;;;;;;;Sin datos / Daturik gabe
