Date;Hour  (GMT);O3 (µg/m3);OZONO;O3 - ICA;O3 8h (µg/m3);D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
04/11/2025;24:00
04/11/2025;23:00
04/11/2025;22:00
04/11/2025;21:00
04/11/2025;20:00
04/11/2025;19:00
04/11/2025;18:00
04/11/2025;17:00
04/11/2025;16:00
04/11/2025;15:00
04/11/2025;14:00
04/11/2025;13:00
04/11/2025;12:00
04/11/2025;11:00
04/11/2025;10:00
04/11/2025;09:00
04/11/2025;08:00
04/11/2025;07:00
04/11/2025;06:00;22;22;Muy bueno / Oso ona;26;29;73;954,3;0;0;9,5;0,22;Muy bueno / Oso ona
04/11/2025;05:00;36;36;Muy bueno / Oso ona;26;360;70;954,5;0;0;10;0,58;Muy bueno / Oso ona
04/11/2025;04:00;26;26;Muy bueno / Oso ona;24;359;71;954,6;0;0;10;0,42;Muy bueno / Oso ona
04/11/2025;03:00;26;26;Muy bueno / Oso ona;22;14;71;955,1;0;0;10,2;0,26;Muy bueno / Oso ona
04/11/2025;02:00;;;Sin datos / Daturik gabe;25;17;69;955,7;0;0;10,6;0,4;Sin datos / Daturik gabe
04/11/2025;01:00;44;44;Muy bueno / Oso ona;29;113;67;955,8;0;0;10,8;0,54;Muy bueno / Oso ona
03/11/2025;24:00;20;20;Muy bueno / Oso ona;32;67;70;956,4;0;0;10,7;0,22;Muy bueno / Oso ona
03/11/2025;23:00;13;13;Muy bueno / Oso ona;34;246;69;956,4;0;0;11;0,41;Muy bueno / Oso ona
03/11/2025;22:00;8;8;Muy bueno / Oso ona;41;352;63;956,3;0;0;12,9;0,55;Muy bueno / Oso ona
03/11/2025;21:00;35;35;Muy bueno / Oso ona;47;93;54;956,3;0;0;14,7;0,21;Muy bueno / Oso ona
03/11/2025;20:00;52;52;Muy bueno / Oso ona;53;168;54;956,6;0;0;15;0,7;Muy bueno / Oso ona
03/11/2025;19:00;57;57;Muy bueno / Oso ona;55;184;53;956,5;0;0;15,8;1,02;Muy bueno / Oso ona
03/11/2025;18:00;58;58;Muy bueno / Oso ona;53;177;45;956,1;0;23,9;18,3;1,65;Muy bueno / Oso ona
03/11/2025;17:00;62;62;Muy bueno / Oso ona;47;189;41;955,9;0;193,6;20,3;1,34;Muy bueno / Oso ona
03/11/2025;16:00;65;65;Muy bueno / Oso ona;41;224;40;955,8;0;337,3;20,6;1,64;Muy bueno / Oso ona
03/11/2025;15:00;65;65;Muy bueno / Oso ona;34;229;39;956;0;477,5;20,8;0,83;Muy bueno / Oso ona
03/11/2025;14:00;52;52;Muy bueno / Oso ona;26;7;47;956,8;0;486,6;19,9;0,3;Muy bueno / Oso ona
03/11/2025;13:00;36;36;Muy bueno / Oso ona;18;18;52;957,9;0;434,6;18,5;0,19;Muy bueno / Oso ona
03/11/2025;12:00;22;22;Muy bueno / Oso ona;13;334;62;958,7;0;380,7;15;0,3;Muy bueno / Oso ona
03/11/2025;11:00;10;10;Muy bueno / Oso ona;11;357;68;959,2;0;278,8;12,9;0,13;Muy bueno / Oso ona
03/11/2025;10:00;5;5;Muy bueno / Oso ona;11;322;73;959,5;0;143,3;10,6;0,3;Muy bueno / Oso ona
03/11/2025;09:00;3;3;Muy bueno / Oso ona;13;342;80;959,5;0;55,6;8,2;0,28;Muy bueno / Oso ona
03/11/2025;08:00;3;3;Muy bueno / Oso ona;15;329;89;959,9;0;0,7;6,1;0,14;Muy bueno / Oso ona
03/11/2025;07:00;6;6;Muy bueno / Oso ona;18;328;89;959,9;0;0;6,2;0,2;Muy bueno / Oso ona
03/11/2025;06:00;17;17;Muy bueno / Oso ona;22;354;88;959,9;0;0;6,8;0,3;Muy bueno / Oso ona
