Date;Hour  (GMT);Benceno (µg/m3);CO (mg/m3);NOX (µg/m3);NO2;NO2 - ICA;PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;SO2;SO2 - ICA;O3 (µg/m3);OZONO;O3 - ICA;ICA Estación
04/11/2025;24:00
04/11/2025;23:00
04/11/2025;22:00
04/11/2025;21:00
04/11/2025;20:00
04/11/2025;19:00
04/11/2025;18:00
04/11/2025;17:00
04/11/2025;16:00
04/11/2025;15:00
04/11/2025;14:00
04/11/2025;13:00
04/11/2025;12:00
04/11/2025;11:00
04/11/2025;10:00
04/11/2025;09:00
04/11/2025;08:00
04/11/2025;07:00
04/11/2025;06:00;0,09;0,09;7;6;Muy bueno / Oso ona;16;Muy bueno / Oso ona;5,21;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
04/11/2025;05:00;0,07;0,08;4;2;Muy bueno / Oso ona;16,21;Muy bueno / Oso ona;5,33;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
04/11/2025;04:00;0,06;0,08;2;1;Muy bueno / Oso ona;16,54;Muy bueno / Oso ona;5,5;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
04/11/2025;03:00;0,06;0,1;2;0;Muy bueno / Oso ona;16,79;Muy bueno / Oso ona;5,63;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
04/11/2025;02:00;0,06;0,11;2;1;Muy bueno / Oso ona;17;Muy bueno / Oso ona;5,75;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
04/11/2025;01:00;0,07;0,14;2;1;Muy bueno / Oso ona;17,25;Muy bueno / Oso ona;5,92;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
03/11/2025;24:00;0,11;0,19;5;4;Muy bueno / Oso ona;17,58;Muy bueno / Oso ona;6,21;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
03/11/2025;23:00;0,44;0,21;7;6;Muy bueno / Oso ona;18,21;Muy bueno / Oso ona;6,63;Muy bueno / Oso ona;5;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
03/11/2025;22:00;0,81;0,34;43;35;Muy bueno / Oso ona;18,71;Muy bueno / Oso ona;6,75;Muy bueno / Oso ona;5;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
03/11/2025;21:00;0,63;0,37;52;40;Muy bueno / Oso ona;18,5;Muy bueno / Oso ona;6,75;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
03/11/2025;20:00;0,65;0,37;56;42;Bueno / Ona;18,21;Muy bueno / Oso ona;6,67;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Bueno / Ona
03/11/2025;19:00;0,8;0,34;67;45;Bueno / Ona;17,96;Muy bueno / Oso ona;6,63;Muy bueno / Oso ona;5;Muy bueno / Oso ona;;;;Bueno / Ona
03/11/2025;18:00;2,08;0,35;100;59;Bueno / Ona;17,58;Muy bueno / Oso ona;6,58;Muy bueno / Oso ona;6;Muy bueno / Oso ona;;;;Bueno / Ona
03/11/2025;17:00;0,3;0,21;47;37;Muy bueno / Oso ona;16,88;Muy bueno / Oso ona;6,42;Muy bueno / Oso ona;6;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
03/11/2025;16:00;0,1;0,16;24;17;Muy bueno / Oso ona;15,46;Muy bueno / Oso ona;6,17;Muy bueno / Oso ona;7;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
03/11/2025;15:00;0,12;0,01;12;7;Muy bueno / Oso ona;15,17;Muy bueno / Oso ona;6,08;Muy bueno / Oso ona;7;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
03/11/2025;14:00;0,21;0,01;12;7;Muy bueno / Oso ona;14,71;Muy bueno / Oso ona;6;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
03/11/2025;13:00;0,3;0,01;14;8;Muy bueno / Oso ona;14,63;Muy bueno / Oso ona;6;Muy bueno / Oso ona;5;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
03/11/2025;12:00;0,25;0,1;29;14;Muy bueno / Oso ona;14,29;Muy bueno / Oso ona;5,96;Muy bueno / Oso ona;6;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
03/11/2025;11:00;0,28;0,19;47;23;Muy bueno / Oso ona;13,83;Muy bueno / Oso ona;5,88;Muy bueno / Oso ona;7;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
03/11/2025;10:00;0,3;0,29;60;26;Muy bueno / Oso ona;13,42;Muy bueno / Oso ona;5,75;Muy bueno / Oso ona;7;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
03/11/2025;09:00;0,33;0,35;73;30;Muy bueno / Oso ona;13,04;Muy bueno / Oso ona;5,63;Muy bueno / Oso ona;6;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
03/11/2025;08:00;0,3;0,36;91;32;Muy bueno / Oso ona;12,54;Muy bueno / Oso ona;5,5;Muy bueno / Oso ona;6;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
03/11/2025;07:00;0,16;0,29;62;29;Muy bueno / Oso ona;12;Muy bueno / Oso ona;5,38;Muy bueno / Oso ona;5;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
03/11/2025;06:00;0,12;0,24;38;25;Muy bueno / Oso ona;11,88;Muy bueno / Oso ona;5,33;Muy bueno / Oso ona;5;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
03/11/2025;05:00;0,19;0,26;35;26;Muy bueno / Oso ona;11,83;Muy bueno / Oso ona;5,29;Muy bueno / Oso ona;5;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
03/11/2025;04:00;0,15;0,23;40;27;Muy bueno / Oso ona;11,71;Muy bueno / Oso ona;5,25;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
03/11/2025;03:00;0,13;0,39;25;23;Muy bueno / Oso ona;11,42;Muy bueno / Oso ona;5,17;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
03/11/2025;02:00;0,26;0,36;23;22;Muy bueno / Oso ona;11,13;Muy bueno / Oso ona;5,08;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
03/11/2025;01:00;0,13;0,39;32;30;Muy bueno / Oso ona;10,83;Muy bueno / Oso ona;5;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
02/11/2025;24:00;0,16;0,38;30;28;Muy bueno / Oso ona;10,33;Muy bueno / Oso ona;4,75;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
02/11/2025;23:00;0,05;0,35;18;17;Muy bueno / Oso ona;9,63;Muy bueno / Oso ona;4,33;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
02/11/2025;22:00;0,06;0,34;35;25;Muy bueno / Oso ona;8,92;Muy bueno / Oso ona;4,21;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
02/11/2025;21:00;0,11;0,31;25;22;Muy bueno / Oso ona;8,54;Muy bueno / Oso ona;4,13;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
02/11/2025;20:00;0,15;0,28;29;22;Muy bueno / Oso ona;8,29;Muy bueno / Oso ona;4,04;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
02/11/2025;19:00;0,22;0,23;18;14;Muy bueno / Oso ona;8,04;Muy bueno / Oso ona;3,96;Muy bueno / Oso ona;6;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
02/11/2025;18:00;0,18;0,17;13;11;Muy bueno / Oso ona;7,75;Muy bueno / Oso ona;3,88;Muy bueno / Oso ona;11;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
02/11/2025;17:00;0,11;0,15;10;7;Muy bueno / Oso ona;7,46;Muy bueno / Oso ona;3,79;Muy bueno / Oso ona;10;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
02/11/2025;16:00;0,05;0,14;4;3;Muy bueno / Oso ona;7,38;Muy bueno / Oso ona;3,79;Muy bueno / Oso ona;9;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
02/11/2025;15:00;0,13;0,01;3;2;Muy bueno / Oso ona;7,33;Muy bueno / Oso ona;3,79;Muy bueno / Oso ona;5;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
02/11/2025;14:00;0,14;0,01;8;4;Muy bueno / Oso ona;7,42;Muy bueno / Oso ona;3,83;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
02/11/2025;13:00;0,14;0,02;6;3;Muy bueno / Oso ona;7,46;Muy bueno / Oso ona;3,88;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
02/11/2025;12:00;0,12;0,04;10;2;Muy bueno / Oso ona;7,38;Muy bueno / Oso ona;3,83;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
02/11/2025;11:00;0,07;0,09;7;2;Muy bueno / Oso ona;7,29;Muy bueno / Oso ona;3,88;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
02/11/2025;10:00;0,08;0,17;19;9;Muy bueno / Oso ona;7,13;Muy bueno / Oso ona;3,83;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
02/11/2025;09:00;0,06;0,19;25;15;Muy bueno / Oso ona;6,88;Muy bueno / Oso ona;3,71;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
02/11/2025;08:00;0,07;0,2;20;15;Muy bueno / Oso ona;6,79;Muy bueno / Oso ona;3,63;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
02/11/2025;07:00;0,06;0,19;28;22;Muy bueno / Oso ona;6,67;Muy bueno / Oso ona;3,58;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
02/11/2025;06:00;0,04;0,17;17;16;Muy bueno / Oso ona;6,5;Muy bueno / Oso ona;3,58;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
02/11/2025;05:00;0,04;0,18;17;16;Muy bueno / Oso ona;6,42;Muy bueno / Oso ona;3,71;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
02/11/2025;04:00;0,03;0,15;13;12;Muy bueno / Oso ona;6,08;Muy bueno / Oso ona;3,63;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
02/11/2025;03:00;0,03;0,1;10;9;Muy bueno / Oso ona;5,88;Muy bueno / Oso ona;3,54;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
02/11/2025;02:00;0,04;0,09;11;10;Muy bueno / Oso ona;5,71;Muy bueno / Oso ona;3,46;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
02/11/2025;01:00;0,05;0,1;12;11;Muy bueno / Oso ona;5,58;Muy bueno / Oso ona;3,33;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
01/11/2025;24:00;0,05;0,11;11;10;Muy bueno / Oso ona;5,46;Muy bueno / Oso ona;3,25;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
01/11/2025;23:00;0,06;0,12;15;14;Muy bueno / Oso ona;5,63;Muy bueno / Oso ona;3,38;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
01/11/2025;22:00;0,03;0,12;16;15;Muy bueno / Oso ona;5,83;Muy bueno / Oso ona;3,5;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
01/11/2025;21:00;0,09;0,14;14;13;Muy bueno / Oso ona;6,04;Muy bueno / Oso ona;3,5;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
01/11/2025;20:00;0,11;0,16;30;28;Muy bueno / Oso ona;6,08;Muy bueno / Oso ona;3,46;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
01/11/2025;19:00;0,1;0,14;24;20;Muy bueno / Oso ona;6;Muy bueno / Oso ona;3,38;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
01/11/2025;18:00;0,05;0,12;19;17;Muy bueno / Oso ona;6,04;Muy bueno / Oso ona;3,29;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
01/11/2025;17:00;0,11;0,11;15;12;Muy bueno / Oso ona;6,08;Muy bueno / Oso ona;3,25;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
01/11/2025;16:00;0,15;0,1;12;10;Muy bueno / Oso ona;6,08;Muy bueno / Oso ona;3,21;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
01/11/2025;15:00;0,29;0,52;16;14;Muy bueno / Oso ona;6,13;Muy bueno / Oso ona;3,21;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
01/11/2025;14:00;0,07;0,45;24;15;Muy bueno / Oso ona;6,21;Muy bueno / Oso ona;3,21;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
01/11/2025;13:00;0,12;0,36;14;12;Muy bueno / Oso ona;6,63;Muy bueno / Oso ona;3,21;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
01/11/2025;12:00;0,06;0,48;24;13;Muy bueno / Oso ona;6,83;Muy bueno / Oso ona;3,25;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
01/11/2025;11:00;0,03;0,36;14;9;Muy bueno / Oso ona;7,13;Muy bueno / Oso ona;3,21;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
01/11/2025;10:00;0,04;0,34;10;8;Muy bueno / Oso ona;7,96;Muy bueno / Oso ona;3,38;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
01/11/2025;09:00;0,03;0,31;7;6;Muy bueno / Oso ona;8,67;Muy bueno / Oso ona;3,46;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
01/11/2025;08:00;0,04;0,3;5;4;Muy bueno / Oso ona;9,58;Muy bueno / Oso ona;3,67;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
01/11/2025;07:00;0,07;0,26;10;9;Muy bueno / Oso ona;10,04;Muy bueno / Oso ona;3,67;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
01/11/2025;06:00;0,08;0,25;8;4;Muy bueno / Oso ona;10,5;Muy bueno / Oso ona;3,75;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
01/11/2025;05:00;0,06;0,19;0;0;Muy bueno / Oso ona;10,29;Muy bueno / Oso ona;3,54;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
01/11/2025;04:00;0,05;0,16;0;0;Muy bueno / Oso ona;10,5;Muy bueno / Oso ona;3,63;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
01/11/2025;03:00;0,03;0,2;0;0;Muy bueno / Oso ona;10,63;Muy bueno / Oso ona;3,71;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
01/11/2025;02:00;0,04;0,18;0;0;Muy bueno / Oso ona;10,88;Muy bueno / Oso ona;3,96;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
01/11/2025;01:00;0,08;0,19;0;0;Muy bueno / Oso ona;11,92;Muy bueno / Oso ona;5;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/10/2025;24:00;0,14;0,24;1;0;Muy bueno / Oso ona;12,29;Muy bueno / Oso ona;5,29;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/10/2025;23:00;0,16;0,22;1;0;Muy bueno / Oso ona;12,08;Muy bueno / Oso ona;5,13;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/10/2025;22:00;0,06;0,2;2;0;Muy bueno / Oso ona;12,04;Muy bueno / Oso ona;4,96;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/10/2025;21:00;0,08;0,18;3;2;Muy bueno / Oso ona;12,17;Muy bueno / Oso ona;4,92;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/10/2025;20:00;0,07;0,22;7;5;Muy bueno / Oso ona;12,5;Muy bueno / Oso ona;4,96;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/10/2025;19:00;0,3;0,25;10;8;Muy bueno / Oso ona;12,67;Muy bueno / Oso ona;4,96;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/10/2025;18:00;0,03;0,19;4;3;Muy bueno / Oso ona;13;Muy bueno / Oso ona;5;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/10/2025;17:00;0,05;0,16;6;5;Muy bueno / Oso ona;13,29;Muy bueno / Oso ona;5,04;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/10/2025;16:00;0,1;0,17;8;7;Muy bueno / Oso ona;13,92;Muy bueno / Oso ona;5,17;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/10/2025;15:00;0,08;0,22;8;6;Muy bueno / Oso ona;14,08;Muy bueno / Oso ona;5,17;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/10/2025;14:00;0,05;0,18;6;4;Muy bueno / Oso ona;14,21;Muy bueno / Oso ona;5,17;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/10/2025;13:00;0,15;0,2;5;3;Muy bueno / Oso ona;14,04;Muy bueno / Oso ona;5,17;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/10/2025;12:00;0,12;0,18;10;6;Muy bueno / Oso ona;14,25;Muy bueno / Oso ona;5,17;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/10/2025;11:00;0,08;0,17;7;4;Muy bueno / Oso ona;14,42;Muy bueno / Oso ona;5,17;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/10/2025;10:00;0,08;0,17;3;2;Muy bueno / Oso ona;14,13;Muy bueno / Oso ona;5,08;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/10/2025;09:00;0,08;0,18;4;2;Muy bueno / Oso ona;14,38;Muy bueno / Oso ona;5,25;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/10/2025;08:00;0,1;0,16;4;2;Muy bueno / Oso ona;14,08;Muy bueno / Oso ona;5,33;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/10/2025;07:00;0,12;0,17;3;1;Muy bueno / Oso ona;14,29;Muy bueno / Oso ona;5,54;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/10/2025;06:00;0,08;0,15;3;2;Muy bueno / Oso ona;14,25;Muy bueno / Oso ona;5,54;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/10/2025;05:00;0,14;0,18;3;2;Muy bueno / Oso ona;14,83;Muy bueno / Oso ona;5,75;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/10/2025;04:00;0,07;0,16;1;0;Muy bueno / Oso ona;15,08;Muy bueno / Oso ona;5,79;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/10/2025;03:00;0,44;0,06;1;0;Muy bueno / Oso ona;15,46;Muy bueno / Oso ona;5,83;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/10/2025;02:00;0,37;0,18;2;0;Muy bueno / Oso ona;15,79;Muy bueno / Oso ona;5,71;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/10/2025;01:00;0,1;0,1;0;0;Muy bueno / Oso ona;15,08;Muy bueno / Oso ona;4,83;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
30/10/2025;24:00;0,03;0,03;0;0;Muy bueno / Oso ona;14,88;Muy bueno / Oso ona;4,58;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
30/10/2025;23:00;0,05;0,05;0;0;Muy bueno / Oso ona;15,13;Muy bueno / Oso ona;4,67;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
30/10/2025;22:00;0,03;0,06;3;1;Muy bueno / Oso ona;15,58;Muy bueno / Oso ona;4,79;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
30/10/2025;21:00;0,03;0,07;1;0;Muy bueno / Oso ona;15,71;Muy bueno / Oso ona;4,92;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
30/10/2025;20:00;0,03;0,06;3;1;Muy bueno / Oso ona;15,71;Muy bueno / Oso ona;5;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
30/10/2025;19:00;0,05;0,06;3;2;Muy bueno / Oso ona;15,71;Muy bueno / Oso ona;5,04;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
30/10/2025;18:00;0,1;0,09;6;4;Muy bueno / Oso ona;15,29;Muy bueno / Oso ona;5;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
30/10/2025;17:00;0,08;0,08;7;6;Muy bueno / Oso ona;15,08;Muy bueno / Oso ona;5,04;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
30/10/2025;16:00;0,06;0,09;10;6;Muy bueno / Oso ona;15,17;Muy bueno / Oso ona;5,13;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
30/10/2025;15:00;0,06;0;8;5;Muy bueno / Oso ona;15,54;Muy bueno / Oso ona;5,29;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
30/10/2025;14:00;0,06;0;6;3;Muy bueno / Oso ona;15,67;Muy bueno / Oso ona;5,42;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
30/10/2025;13:00;0,06;0;4;3;Muy bueno / Oso ona;15,75;Muy bueno / Oso ona;5,54;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
30/10/2025;12:00;0,06;0,01;6;2;Muy bueno / Oso ona;15,83;Muy bueno / Oso ona;5,67;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
30/10/2025;11:00;0,08;0,06;13;8;Muy bueno / Oso ona;15,71;Muy bueno / Oso ona;5,67;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
30/10/2025;10:00;0,2;0,18;45;24;Muy bueno / Oso ona;15,58;Muy bueno / Oso ona;5,63;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
30/10/2025;09:00;0,2;0,27;58;31;Muy bueno / Oso ona;15;Muy bueno / Oso ona;5,42;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
30/10/2025;08:00;0,18;0,25;64;31;Muy bueno / Oso ona;14,71;Muy bueno / Oso ona;5,21;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
30/10/2025;07:00;0,12;0,21;46;27;Muy bueno / Oso ona;14,17;Muy bueno / Oso ona;5;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
30/10/2025;06:00;0,06;0,17;33;20;Muy bueno / Oso ona;13,92;Muy bueno / Oso ona;4,92;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
30/10/2025;05:00;0,05;0,16;17;15;Muy bueno / Oso ona;13,58;Muy bueno / Oso ona;4,75;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
30/10/2025;04:00;0,03;0,14;10;9;Muy bueno / Oso ona;13,46;Muy bueno / Oso ona;4,63;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
30/10/2025;03:00;0,03;0,38;10;9;Muy bueno / Oso ona;13,29;Muy bueno / Oso ona;4,58;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
30/10/2025;02:00;0,03;0,37;8;7;Muy bueno / Oso ona;13,13;Muy bueno / Oso ona;4,54;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
30/10/2025;01:00;0;0,34;5;4;Muy bueno / Oso ona;13,25;Muy bueno / Oso ona;4,58;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
29/10/2025;24:00;0,14;0,33;2;0;Muy bueno / Oso ona;13,71;Muy bueno / Oso ona;4,75;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
29/10/2025;23:00;0,23;0,32;6;5;Muy bueno / Oso ona;14,25;Muy bueno / Oso ona;4,96;Muy bueno / Oso ona;5;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
29/10/2025;22:00;0,06;0,32;19;14;Muy bueno / Oso ona;14,29;Muy bueno / Oso ona;5,04;Muy bueno / Oso ona;6;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
29/10/2025;21:00;0,1;0,32;14;13;Muy bueno / Oso ona;14,75;Muy bueno / Oso ona;5,17;Muy bueno / Oso ona;5;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
29/10/2025;20:00;0,14;0,29;14;13;Muy bueno / Oso ona;14,92;Muy bueno / Oso ona;5,29;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
29/10/2025;19:00;0,1;0,3;13;11;Muy bueno / Oso ona;15,58;Muy bueno / Oso ona;5,5;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
29/10/2025;18:00;0,08;0,29;21;17;Muy bueno / Oso ona;16,63;Muy bueno / Oso ona;5,75;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
29/10/2025;17:00;0,2;0,24;34;31;Muy bueno / Oso ona;17,71;Muy bueno / Oso ona;5,96;Muy bueno / Oso ona;6;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
29/10/2025;16:00;0,11;0,22;28;23;Muy bueno / Oso ona;18,04;Muy bueno / Oso ona;5,96;Muy bueno / Oso ona;8;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
